team,w_l,wins,losses,win_loss_pct,offensive_opp_pts,offensive_opp_ppg,defensive_opp_pts,defensive_opp_ppg,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_free_throws_made,total_free_throw_att,total_free_throw_pct,total_steals,steal_pct,total_assists,total_turnovers,turnover_ratio,total_blocks,total_block_pct,total_rebounds,average_rebounds,total_opp_rebounds,average_opp_rebounds,reb_margin
San Diego,20-13,20,13,60.6,2389,72.4,2255,68.3,844,1840,45.9,260,744,34.9,441,596,74,191,5.8,490,416,1.18,101,3.1,1135,34.4,1057,32,2.4
South Dakota,13-16,13,16,44.8,2048,70.6,2040,70.3,703,1592,44.2,221,637,34.7,421,569,74,160,5.5,369,314,1.18,67,2.3,902,31.1,987,34,-2.9
Colorado,18-11,18,11,62.1,2171,74.9,1986,68.5,765,1660,46.1,189,582,32.5,452,611,74,154,5.3,390,386,1.01,89,3.1,1079,37.2,921,31.8,5.4
Kentucky,25-5,25,5,83.3,2315,77.2,1965,65.5,801,1674,47.8,185,514,36,528,714,73.9,183,6.1,416,384,1.08,152,5.1,1155,38.5,888,29.6,8.9
Iona,15-15,15,15,50,2305,76.8,2303,76.8,785,1737,45.2,261,755,34.6,474,641,73.9,203,6.8,397,378,1.05,84,2.8,1030,34.3,1104,36.8,-2.5
Murray St.,26-4,26,4,86.7,2505,83.5,2036,67.9,909,1828,49.7,239,681,35.1,448,606,73.9,232,7.7,547,365,1.5,139,4.6,1129,37.6,1026,34.2,3.4
Georgetown,18-12,18,12,60,2414,80.5,2348,78.3,825,1855,44.5,251,705,35.6,513,694,73.9,181,6,513,411,1.25,121,4,1196,39.9,1081,36,3.8
South Carolina St.,25-Jul,7,25,21.9,2252,70.4,2461,76.9,770,1799,42.8,182,552,33,530,717,73.9,163,5.1,359,463,0.78,58,1.8,1064,33.3,1050,32.8,0.4
Belmont,26-4,26,4,86.7,2645,88.2,2213,73.8,962,1912,50.3,318,838,37.9,403,546,73.8,207,6.9,601,352,1.71,115,3.8,1174,39.1,1040,34.7,4.5
Winthrop,18-12,18,12,60,2499,83.3,2358,78.6,855,1878,45.5,372,997,37.3,417,565,73.8,134,4.5,460,456,1.01,83,2.8,1231,41,1073,35.8,5.3
Western Ill.,20-Sep,9,20,31,2046,70.6,2120,73.1,762,1741,43.8,227,591,38.4,295,400,73.8,155,5.3,305,333,0.92,126,4.3,1024,35.3,1085,37.4,-2.1
Wright St.,20-12,20,12,62.5,2360,73.8,2159,67.5,819,1857,44.1,256,743,34.5,466,632,73.7,199,6.2,450,375,1.2,63,2,1123,35.1,1017,31.8,3.3
Miami (FL),13-17,13,17,43.3,2162,72.1,2133,71.1,759,1742,43.6,253,760,33.3,391,531,73.6,202,6.7,391,353,1.11,97,3.2,1000,33.3,1090,36.3,-3
The Citadel,18-Dec,12,18,40,2553,85.1,2584,86.1,899,2011,44.7,370,1076,34.4,385,523,73.6,201,6.7,463,386,1.2,110,3.7,1104,36.8,1216,40.5,-3.7
Niagara,13-19,13,19,40.6,2318,72.4,2432,76,795,1887,42.1,265,738,35.9,463,629,73.6,128,4,343,390,0.88,127,4,1143,35.7,1154,36.1,-0.3
Montana St.,14-15,14,15,48.3,2263,78,2307,79.6,777,1718,45.2,270,734,36.8,439,598,73.4,162,5.6,437,363,1.2,43,1.5,990,34.1,998,34.4,-0.3
Idaho St.,18-Oct,10,18,35.7,2048,73.1,2207,78.8,730,1631,44.8,254,693,36.7,334,455,73.4,140,5,356,336,1.06,81,2.9,914,32.6,963,34.4,-1.8
Grand Canyon,18-11,18,11,62.1,2200,75.9,1955,67.4,775,1691,45.8,214,648,33,436,594,73.4,185,6.4,431,359,1.2,66,2.3,1056,36.4,951,32.8,3.6
Northern Ill.,15-16,15,16,48.4,2279,73.5,2205,71.1,851,1829,46.5,204,585,34.9,373,509,73.3,175,5.6,351,375,0.94,70,2.3,1088,35.1,1041,33.6,1.5
Clemson,18-12,18,12,60,2084,69.5,1928,64.3,750,1630,46,193,582,33.2,391,534,73.2,193,6.4,368,401,0.92,131,4.4,1051,35,959,32,3.1
Iowa St.,20-10,20,10,66.7,2336,77.9,2052,68.4,850,1778,47.8,254,704,36.1,382,522,73.2,216,7.2,470,328,1.43,136,4.5,1052,35.1,1035,34.5,0.6
Ohio St.,18-12,18,12,60,2082,69.4,1960,65.3,720,1644,43.8,220,652,33.7,422,577,73.1,172,5.7,414,376,1.1,75,2.5,1044,34.8,996,33.2,1.6
VMI,20-Nov,11,20,35.5,2361,76.2,2518,81.2,815,1908,42.7,315,870,36.2,416,569,73.1,211,6.8,431,381,1.13,61,2,1079,34.8,1199,38.7,-3.9
Indiana St.,15-16,15,16,48.4,2146,69.2,2218,71.5,757,1719,44,178,491,36.3,454,621,73.1,207,6.7,342,402,0.85,73,2.4,1007,32.5,1072,34.6,-2.1
Northwestern,13-17,13,17,43.3,1982,66.1,1938,64.6,691,1708,40.5,214,685,31.2,386,528,73.1,166,5.5,424,330,1.28,127,4.2,1020,34,1083,36.1,-2.1
Longwood,15-17,15,17,46.9,2228,69.6,2241,70,742,1755,42.3,302,878,34.4,442,605,73.1,198,6.2,364,459,0.79,68,2.1,1133,35.4,1099,34.3,1.1
Temple,22-8,22,8,73.3,2254,75.1,2135,71.2,798,1814,44,228,688,33.1,430,590,72.9,264,8.8,440,331,1.33,69,2.3,1033,34.4,1110,37,-2.6
Purdue,22-8,22,8,73.3,2295,76.5,2006,66.9,805,1798,44.8,298,806,37,387,531,72.9,197,6.6,427,326,1.31,123,4.1,1105,36.8,952,31.7,5.1
Samford,17-15,17,15,53.1,2513,78.5,2410,75.3,894,1889,47.3,250,666,37.5,475,652,72.9,231,7.2,449,452,0.99,126,3.9,1190,37.2,1176,36.8,0.4
Arkansas St.,13-17,13,17,43.3,2205,73.5,2310,77,742,1769,41.9,222,653,34,499,685,72.8,177,5.9,347,435,0.8,129,4.3,1133,37.8,1062,35.4,2.4
Western Ky.,18-13,18,13,58.1,2236,72.1,2183,70.4,793,1753,45.2,186,559,33.3,464,637,72.8,216,7,384,429,0.9,155,5,1132,36.5,1076,34.7,1.8
Presbyterian,18-15,18,15,54.5,2601,78.8,2389,72.4,888,1971,45.1,361,945,38.2,464,637,72.8,193,5.8,518,326,1.59,67,2,1146,34.7,1160,35.2,-0.4
UNCW,22-Sep,9,22,29,2361,76.2,2504,80.8,825,1869,44.1,250,715,35,461,633,72.8,141,4.5,467,418,1.12,58,1.9,1153,37.2,1037,33.5,3.7
BYU,19-12,19,12,61.3,2470,79.7,2356,76,860,1820,47.3,225,667,33.7,525,721,72.8,196,6.3,477,344,1.39,102,3.3,1086,35,1125,36.3,-1.3
St. Bonaventure,15-15,15,15,50,1995,66.5,1925,64.2,739,1707,43.3,180,562,32,337,463,72.8,185,6.2,370,382,0.97,133,4.4,1037,34.6,1002,33.4,1.2
Dartmouth,18-Nov,11,18,37.9,2109,72.7,2050,70.7,770,1695,45.4,263,702,37.5,306,421,72.7,153,5.3,419,346,1.21,100,3.4,991,34.2,974,33.6,0.6
Wake Forest,18-Nov,11,18,37.9,1991,68.7,2200,75.9,671,1694,39.6,187,607,30.8,462,636,72.6,142,4.9,316,394,0.8,75,2.6,1098,37.9,998,34.4,3.4
Saint Peter's,22-Oct,10,22,31.3,2012,62.9,2196,68.6,707,1639,43.1,184,567,32.5,414,570,72.6,172,5.4,301,489,0.62,177,5.5,1037,32.4,982,30.7,1.7
Delaware,16-15,16,15,51.6,2193,70.7,2223,71.7,773,1696,45.6,257,695,37,390,537,72.6,141,4.5,392,355,1.1,77,2.5,1023,33,1076,34.7,-1.7
Marshall,17-13,17,13,56.7,2416,80.5,2484,82.8,848,1926,44,292,863,33.8,428,590,72.5,275,9.2,426,377,1.13,141,4.7,995,33.2,1281,42.7,-9.5
Howard,16-15,16,15,51.6,2463,79.5,2434,78.5,861,1987,43.3,217,607,35.7,524,723,72.5,178,5.7,418,384,1.09,123,4,1148,37,1210,39,-2
Eastern Wash.,13-17,13,17,43.3,2151,71.7,2237,74.6,765,1807,42.3,274,792,34.6,347,479,72.4,172,5.7,412,354,1.16,90,3,1047,34.9,1078,35.9,-1
Florida,17-13,17,13,56.7,2060,68.7,1910,63.7,720,1704,42.3,252,745,33.8,368,508,72.4,222,7.4,366,354,1.03,117,3.9,1011,33.7,1036,34.5,-0.8
Coastal Caro.,15-14,15,14,51.7,2247,77.5,2111,72.8,759,1658,45.8,242,638,37.9,487,673,72.4,188,6.5,389,418,0.93,73,2.5,1063,36.7,938,32.3,4.3
Utah Valley,22-8,22,8,73.3,2327,77.6,2121,70.7,803,1654,48.5,242,618,39.2,479,662,72.4,182,6.1,415,409,1.01,71,2.4,1081,36,957,31.9,4.1
Central Ark.,18-Dec,12,18,40,2175,72.5,2303,76.8,748,1747,42.8,250,711,35.2,429,593,72.3,180,6,427,438,0.97,114,3.8,1054,35.1,1140,38,-2.9
St. John's (NY),20-10,20,10,66.7,2354,78.5,2227,74.2,844,1844,45.8,264,716,36.9,402,556,72.3,266,8.9,427,320,1.33,98,3.3,990,33,1152,38.4,-5.4
California,22-Aug,8,22,26.7,2070,69,2331,77.7,723,1688,42.8,199,570,34.9,425,588,72.3,215,7.2,328,343,0.96,93,3.1,882,29.4,1079,36,-6.6
Idaho,25-May,5,25,16.7,2035,67.8,2315,77.2,728,1648,44.2,235,640,36.7,344,476,72.3,119,4,374,417,0.9,51,1.7,997,33.2,1088,36.3,-3
Fairleigh Dickinson,18-13,18,13,58.1,2338,75.4,2214,71.4,827,1749,47.3,241,602,40,443,613,72.3,242,7.8,446,419,1.06,110,3.5,1031,33.3,1060,34.2,-0.9
San Diego St.,19-11,19,11,63.3,2199,73.3,2035,67.8,766,1714,44.7,233,636,36.6,434,601,72.2,179,6,442,385,1.15,103,3.4,1091,36.4,1009,33.6,2.7
Mississippi St.,21-9,21,9,70,2304,76.8,2096,69.9,819,1747,46.9,248,668,37.1,418,579,72.2,249,8.3,420,401,1.05,152,5.1,1072,35.7,963,32.1,3.6
Villanova,22-8,22,8,73.3,2239,74.6,2001,66.7,748,1691,44.2,318,905,35.1,425,589,72.2,165,5.5,429,331,1.3,89,3,1060,35.3,980,32.7,2.7
Kent St.,22-9,22,9,71,2323,74.9,2241,72.3,819,1890,43.3,240,708,33.9,445,617,72.1,216,7,409,361,1.13,111,3.6,1111,35.8,1067,34.4,1.4
Evansville,21-Nov,11,21,34.4,2234,69.8,2317,72.4,747,1774,42.1,264,778,33.9,476,660,72.1,184,5.8,394,410,0.96,89,2.8,1092,34.1,1217,38,-3.9
Oregon,18-12,18,12,60,2115,70.5,1928,64.3,758,1691,44.8,232,671,34.6,367,509,72.1,228,7.6,409,351,1.17,123,4.1,1021,34,984,32.8,1.2
N.C. Central,15-14,15,14,51.7,2113,72.9,1947,67.1,763,1656,46.1,189,589,32.1,398,552,72.1,187,6.4,455,450,1.01,79,2.7,1084,37.4,887,30.6,6.8
SMU,13-16,13,16,44.8,2078,71.7,2031,70,750,1724,43.5,240,717,33.5,338,469,72.1,167,5.8,402,318,1.26,115,4,1048,36.1,988,34.1,2.1
Wyoming,23-Jul,7,23,23.3,1949,65,2252,75.1,642,1548,41.5,230,673,34.2,435,604,72,168,5.6,302,421,0.72,82,2.7,915,30.5,1131,37.7,-7.2
UMass Lowell,15-16,15,16,48.4,2386,77,2342,75.5,849,1799,47.2,239,705,33.9,449,624,72,177,5.7,488,437,1.12,83,2.7,1085,35,1091,35.2,-0.2
Arizona,17-13,17,13,56.7,2140,71.3,2055,68.5,751,1756,42.8,225,658,34.2,413,574,72,158,5.3,375,342,1.1,66,2.2,1045,34.8,1031,34.4,0.5
James Madison,13-18,13,18,41.9,2181,70.4,2260,72.9,769,1750,43.9,230,643,35.8,413,574,72,194,6.3,381,396,0.96,100,3.2,1066,34.4,1036,33.4,1
Omaha,19-10,19,10,65.5,2318,79.9,2245,77.4,874,1821,48,260,661,39.3,310,431,71.9,164,5.7,386,274,1.41,54,1.9,941,32.4,985,34,-1.5
Troy,18-Nov,11,18,37.9,2105,72.6,2175,75,751,1655,45.4,227,669,33.9,376,523,71.9,165,5.7,381,395,0.96,132,4.6,979,33.8,1031,35.6,-1.8
Fresno St.,21-8,21,8,72.4,2191,75.6,1946,67.1,756,1686,44.8,298,795,37.5,381,530,71.9,202,7,396,371,1.07,99,3.4,1042,35.9,993,34.2,1.7
George Mason,16-14,16,14,53.3,2115,70.5,2099,70,753,1687,44.6,185,568,32.6,424,590,71.9,191,6.4,358,396,0.9,90,3,1051,35,1016,33.9,1.2
DePaul,15-13,15,13,53.6,2154,76.9,2080,74.3,771,1646,46.8,191,547,34.9,421,586,71.8,180,6.4,411,386,1.06,85,3,1051,37.5,900,32.1,5.4
NJIT,21-12,21,12,63.6,2310,70,2238,67.8,792,1778,44.5,229,664,34.5,497,692,71.8,211,6.4,354,409,0.87,90,2.7,1111,33.7,1162,35.2,-1.5
Detroit Mercy,20-Nov,11,20,35.5,2279,73.5,2464,79.5,784,1874,41.8,294,825,35.6,417,581,71.8,238,7.7,319,356,0.9,77,2.5,1019,32.9,1211,39.1,-6.2
Nevada,27-3,27,3,90,2448,81.6,2011,67,831,1783,46.6,268,761,35.2,518,722,71.7,193,6.4,459,303,1.51,119,4,1120,37.3,1074,35.8,1.5
Norfolk St.,19-12,19,12,61.3,2312,74.6,2156,69.5,784,1772,44.2,245,658,37.2,499,696,71.7,181,5.8,404,466,0.87,137,4.4,1129,36.4,1112,35.9,0.5
Radford,22-10,22,10,68.8,2375,74.2,2171,67.8,865,1870,46.3,278,728,38.2,367,512,71.7,191,6,456,353,1.29,98,3.1,1138,35.6,1015,31.7,3.8
Stony Brook,24-7,24,7,77.4,2213,71.4,2028,65.4,766,1811,42.3,218,664,32.8,463,646,71.7,189,6.1,344,447,0.77,131,4.2,1263,40.7,1060,34.2,6.5
Illinois St.,17-16,17,16,51.5,2257,68.4,2314,70.1,813,1887,43.1,244,734,33.2,387,540,71.7,162,4.9,421,417,1.01,106,3.2,1139,34.5,1156,35,-0.5
Quinnipiac,16-13,16,13,55.2,2121,73.1,2065,71.2,683,1616,42.3,320,860,37.2,435,607,71.7,153,5.3,369,397,0.93,58,2,1047,36.1,1012,34.9,1.2
Boise St.,19-Nov,11,19,36.7,2149,71.6,2077,69.2,769,1646,46.7,227,651,34.9,384,536,71.6,177,5.9,354,347,1.02,63,2.1,933,31.1,950,31.7,-0.6
Texas Tech,25-5,25,5,83.3,2185,72.8,1745,58.2,783,1653,47.4,215,587,36.6,404,564,71.6,216,7.2,426,372,1.15,146,4.9,1030,34.3,949,31.6,2.7
Cornell,14-15,14,15,48.3,1994,68.8,2062,71.1,692,1598,43.3,229,691,33.1,381,532,71.6,170,5.9,416,378,1.1,99,3.4,952,32.8,1092,37.7,-4.8
Santa Clara,16-15,16,15,51.6,2115,68.2,2172,70.1,735,1653,44.5,239,663,36,406,567,71.6,146,4.7,416,433,0.96,111,3.6,1027,33.1,1059,34.2,-1
Miami (OH),15-16,15,16,48.4,2216,71.5,2153,69.5,763,1791,42.6,264,805,32.8,426,595,71.6,184,5.9,347,397,0.87,87,2.8,1151,37.1,1066,34.4,2.7
