team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
Syracuse,Orange,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,31,6225.0,739,1750,1004,498,6225.0,0.496,241,746,0.323,98,437,640,0.683,276,691,967,375,381,0.98,254,149,537,3,2156,245,3,569,300,0,17,763,2306,2031.6,0.531,7.9,18.35,9.68,200.8,69.5,8.9,22.29,31.19,12.1,8.19,4.81,12.29,17.32,0.1,3.16,23.84,56.45,7.77,24.06,14.1,20.65,16.06,32.39,24.61,74.39,65.54
Louisville,Cardinals,b795ddbc-baab-4499-8803-52e8608520ab,31,6300.0,775,1776,1007,510,6300.0,0.506,265,769,0.345,109,500,647,0.773,269,834,1103,410,389,1.05,143,88,534,7,2315,247,2,383,318,0,8,868,2522,2060.68,0.562,7.97,12.35,10.26,203.2,74.7,8.68,26.9,35.58,13.2,4.61,2.84,12.55,17.23,0.06,3.52,25.0,57.29,8.55,24.81,16.13,20.87,16.45,32.48,28.0,81.35,66.47
Florida State,Seminoles,d3c8a767-b6fc-45d4-a5f2-18406f2993f1,31,6275.0,811,1818,1125,582,6275.0,0.517,229,693,0.33,91,499,679,0.735,319,758,1077,406,417,0.97,224,134,602,7,2350,295,6,513,367,0,9,1034,2587,2116.76,0.555,9.52,16.55,11.84,202.4,75.8,10.29,24.45,34.74,13.1,7.23,4.32,13.45,19.42,0.19,2.94,26.16,58.65,7.39,22.35,16.1,21.9,18.77,36.29,33.35,83.45,68.28
Clemson,Tigers,dcf5c2e7-c227-4c20-af26-715d5f859412,31,6200.0,769,1686,1080,571,6200.0,0.529,198,606,0.327,89,415,564,0.736,239,774,1013,382,415,0.92,205,136,513,3,2151,178,6,476,296,0,12,852,2406,1934.16,0.556,5.74,15.35,9.55,200.0,69.4,7.71,24.97,32.68,12.3,6.61,4.39,13.39,16.55,0.19,2.87,24.81,54.39,6.39,19.55,13.39,18.19,18.42,34.84,27.48,77.61,62.39
North Carolina,Tar Heels,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,31,6225.0,964,2069,1324,686,6225.0,0.518,278,745,0.373,148,478,645,0.741,349,904,1253,598,414,1.44,227,113,534,0,2684,393,3,528,459,0,5,1106,3189,2352.8,0.57,12.68,17.03,14.81,200.8,86.6,11.26,29.16,40.42,19.3,7.32,3.65,13.35,17.23,0.1,4.77,31.1,66.74,8.97,24.03,15.42,20.81,22.13,42.71,35.68,102.87,75.9
Duke,Blue Devils,faeb1160-5d15-4f26-99fc-c441cf21fc7f,31,6225.0,950,1999,1238,717,6225.0,0.579,233,761,0.306,102,475,689,0.689,385,845,1230,499,404,1.24,294,216,489,2,2608,513,0,583,438,0,6,1294,3180,2302.16,0.566,16.55,18.81,14.13,200.8,84.1,12.42,27.26,39.68,16.1,9.48,6.97,13.03,15.77,0.0,3.29,30.65,64.48,7.52,24.55,15.32,22.23,23.13,39.94,41.74,102.58,74.26
North Florida,Ospreys,09920a5f-1b25-466c-b5ae-6167214f5ba9,33,6625.0,902,2014,1117,594,6625.0,0.532,308,897,0.343,29,373,539,0.692,311,842,1153,520,536,0.97,212,165,573,3,2485,332,0,464,374,0,5,1024,2721,2251.16,0.552,10.06,14.06,11.33,200.8,75.3,9.42,25.52,34.94,15.8,6.42,5.0,16.24,17.36,0.0,0.88,27.33,61.03,9.33,27.18,11.3,16.33,18.0,33.85,31.03,82.45,68.22
Kennesaw State,Owls,2e8442e9-bd09-4d46-9dd3-de79433287f3,32,6425.0,742,1945,1507,606,6425.0,0.402,136,438,0.311,26,410,590,0.695,317,740,1057,362,437,0.83,185,106,525,5,2030,244,0,390,297,0,1,749,1920,2204.6,0.46,7.63,12.19,9.28,200.8,63.4,9.91,23.13,33.03,11.3,5.78,3.31,13.66,16.41,0.0,0.81,23.19,60.78,4.25,13.69,12.81,18.44,18.94,47.09,23.41,60.0,68.89
Stetson,Hatters,394d1b2b-7a19-4d43-b04a-5f366c24e5bf,31,6225.0,794,1962,1278,579,6225.0,0.453,215,684,0.314,22,348,503,0.692,312,702,1014,418,395,1.06,210,94,536,0,2151,225,0,446,370,0,1,842,2169,2183.32,0.493,7.26,14.39,11.94,200.8,69.4,10.06,22.65,32.71,13.5,6.77,3.03,12.74,17.29,0.0,0.71,25.61,63.29,6.94,22.06,11.23,16.23,18.68,41.23,27.16,69.97,70.43
N.J.I.T.,Highlanders,500d7223-ecff-494b-9539-28427156c783,33,6650.0,792,1778,1114,563,6650.0,0.505,229,664,0.345,19,497,692,0.718,205,825,1030,354,409,0.87,211,90,551,8,2310,311,0,435,236,0,1,887,2405,2082.48,0.555,9.42,13.18,7.15,201.5,70.0,6.21,25.0,31.21,10.7,6.39,2.73,12.39,16.7,0.0,0.58,24.0,53.88,6.94,20.12,15.06,20.97,17.06,33.76,26.88,72.88,63.11
Florida Gulf Coast,Eagles,5326c079-3dc3-468f-a601-b776dd9c1e62,32,6400.0,809,1787,1063,540,6400.0,0.508,269,724,0.372,20,393,588,0.668,237,740,977,449,481,0.93,218,133,514,7,2280,236,3,471,253,0,1,957,2403,2045.72,0.557,7.38,14.72,7.91,200.0,71.3,7.41,23.13,30.53,14.0,6.81,4.16,15.03,16.06,0.09,0.63,25.28,55.84,8.41,22.63,12.28,18.38,16.88,33.22,29.91,75.09,63.93
Liberty,Flames,559db90c-741f-40d1-aa81-3fdd1d4889f3,34,6800.0,921,1878,1061,621,6800.0,0.585,300,817,0.367,22,374,485,0.771,222,804,1026,505,373,1.35,217,91,513,1,2516,131,0,457,243,0,1,962,2914,2091.4,0.602,3.85,13.44,7.15,200.0,74.0,6.53,23.65,30.18,14.9,6.38,2.68,10.97,15.09,0.0,0.65,27.09,55.24,8.82,24.03,11.0,14.26,18.26,31.21,28.29,85.71,61.51
North Alabama,Lions,61db8108-45f1-43e5-ade8-83278324bc7d,32,6425.0,744,1914,1109,504,6425.0,0.454,240,805,0.298,19,417,619,0.674,296,777,1073,334,437,0.76,209,74,615,5,2145,247,0,433,299,0,2,889,2026,2186.36,0.491,7.72,13.53,9.34,200.8,67.0,9.25,24.28,33.53,10.4,6.53,2.31,13.66,19.22,0.0,0.59,23.25,59.81,7.5,25.16,13.03,19.34,15.75,34.66,27.78,63.31,68.32
Lipscomb,Bisons,a2b8223d-40b3-4076-b5df-55655c2f8591,32,6400.0,930,1926,1171,650,6400.0,0.555,280,755,0.371,23,530,705,0.752,254,863,1117,555,424,1.31,241,88,556,7,2670,203,0,585,320,0,1,1186,3076,2236.2,0.597,6.34,18.28,10.0,200.0,83.4,7.94,26.97,34.91,17.3,7.53,2.75,13.25,17.38,0.0,0.72,29.06,60.19,8.75,23.59,16.56,22.03,20.31,36.59,37.06,96.13,69.88
Jacksonville,Dolphins,fb28bd56-9e56-40c1-992d-71c1e27fe4fd,32,6425.0,889,1952,1308,676,6425.0,0.517,213,644,0.331,18,394,582,0.677,290,785,1075,456,461,0.99,213,166,522,3,2385,418,1,444,348,0,1,1098,2583,2208.08,0.54,13.06,13.88,10.88,200.8,74.5,9.06,24.53,33.59,14.3,6.66,5.19,14.41,16.31,0.03,0.56,27.78,61.0,6.66,20.13,12.31,18.19,21.13,40.88,34.31,80.72,69.0
Loyola (MD),Greyhounds,175d34a7-3823-4e4f-9f11-2464f55360b8,32,6475.0,842,1836,1220,632,6475.0,0.518,210,616,0.341,32,438,617,0.71,240,652,892,448,444,1.01,278,73,573,5,2332,302,0,545,314,0,2,1044,2406,2107.48,0.553,9.44,17.03,9.81,202.3,72.9,7.5,20.38,27.88,14.0,8.69,2.28,13.88,17.91,0.0,1.0,26.31,57.38,6.56,19.25,13.69,19.28,19.75,38.13,32.63,75.19,65.86
American University,Eagles,2f513e67-f019-4eec-9096-fbc5911858b6,30,6100.0,780,1645,1061,590,6100.0,0.556,190,584,0.325,20,411,589,0.698,201,724,925,402,386,1.04,221,131,519,3,2161,186,0,430,239,0,3,1038,2411,1904.16,0.567,6.2,14.33,7.97,203.3,72.0,6.7,24.13,30.83,13.4,7.37,4.37,12.87,17.3,0.0,0.67,26.0,54.83,6.33,19.47,13.7,19.63,19.67,35.37,34.6,80.37,63.47
Holy Cross,Crusaders,31aedd91-a77e-46c1-8bdc-80e9860c159d,33,6675.0,848,1834,1164,611,6675.0,0.525,237,670,0.354,25,283,424,0.667,189,655,844,511,359,1.42,241,127,482,5,2216,140,1,495,235,0,3,1091,2453,2020.56,0.548,4.24,15.0,7.12,202.3,67.2,5.73,19.85,25.58,15.5,7.3,3.85,10.88,14.61,0.03,0.76,25.7,55.58,7.18,20.3,8.58,12.85,18.52,35.27,33.06,74.33,61.23
