team_market,team_name,team_id,conference_name,conference_id
Delaware,Fightin Blue Hens,0affc15f-641d-4211-970d-fb9fb8d36842,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
Hofstra,Pride,36ca2008-cd2e-4549-8b3b-c745167e07f3,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
James Madison,Dukes,524e3eec-7dde-45c7-b3cc-6308cec73350,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
Towson,Tigers,6f3eec09-2918-4739-a0e8-5d79e14a8332,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
Charleston,Cougars,8548dacb-3636-48a8-8c46-611ab0c15fc0,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
Elon,Phoenix,8accb91e-6086-41b3-a420-7a82fa442365,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
Northeastern,Huskies,93df9b18-e9fc-42a7-bb45-a736c203b4dc,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
William & Mary,Tribe,ad24b724-a11c-4dcd-a68c-67c53833ccb7,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
North Carolina-Wilmington,Seahawks,c54279f9-3028-4663-893a-7d22482f8098,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
Drexel,Dragons,f2d01b77-0f5d-4574-9e49-2a3eaf822e44,Colonial,c56db9d1-604f-40ad-8a7f-c3b8abd16fca
Pepperdine,Waves,17479d6f-c8f1-458b-9412-8c76279a2bb4,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
Portland,Pilots,224e3b21-30e7-4a05-9e8c-62721d581db8,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
Santa Clara,Broncos,28023973-1d9d-4d01-b939-dc8f9b44fb1c,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
Gonzaga,Bulldogs,2f4d21f8-6d5f-48a5-abca-52a30583871a,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
Loyola Marymount,Lions,441a11b4-b506-45b3-8030-fe72a4381c40,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
San Diego,Toreros,620d5944-7156-47d3-aad5-5b3824557d03,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
Saint Mary's,Gaels,b18f34af-a7f1-4659-a2e5-fc11a31cd316,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
BYU,Cougars,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
Pacific,Tigers,c9570e17-c4fd-41e6-908a-1a083941319d,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
San Francisco,Dons,d24efd99-8717-43b9-a086-9986a684ac04,West Coast,c664ceee-1dc0-4743-a6d8-11fbdfb87f61
Marquette,Golden Eagles,06f7c904-0ac7-4125-b0f4-f4871bb69057,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
Xavier,Musketeers,0d8a328f-20ce-410b-bed1-15fc01308aaf,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
Villanova,Wildcats,4383eb6a-7fd8-4ff2-94c5-43c933121e88,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
Providence,Friars,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
Creighton,Bluejays,7d797407-623e-476d-b299-46de4275414d,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
Georgetown,Hoyas,8736b67f-5924-400b-bf94-3bd804c36600,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
Seton Hall,Pirates,aef5e386-d8e8-460c-8014-3a2f090fd988,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
Butler,Bulldogs,bdb7d7a4-45f8-4bf3-ab85-15488c451494,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
St. John's,Red Storm,c1f4aae1-aa16-4095-aeab-10e5c2a1236a,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
DePaul,Blue Demons,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,Big East,d07bc93e-c84c-44a9-a99d-c213bd0014d6
Saint Louis,Billikens,1e42cce3-236b-4f3e-9650-2c45e6332e1e,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
St. Bonaventure,Bonnies,22d90601-19d4-461b-a901-924d12f116ed,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Davidson,Wildcats,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Dayton,Flyers,632616c5-2dbb-4017-a449-c9dfc303f026,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Fordham,Rams,7888d144-563d-4f84-b99b-d120aecf1fef,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Rhode Island,Rams,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Massachusetts,Minutemen,88104678-e53b-43b3-82f7-efb3a11cedb9,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Richmond,Spiders,9b66e1e0-aace-4671-9be2-54c8acf5ecfc,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
La Salle,Explorers,ad9a3e21-4585-4e35-8946-290fe4a16f18,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Virginia Commonwealth,Rams,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
George Washington,Colonials,d52c3640-069c-4554-982e-e6537c8044f1,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
George Mason,Patriots,e76479d0-a768-46d2-89bf-7b9dae12bec8,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Saint Joseph's (PA),Hawks,f9e4261e-d11d-46c4-bd33-c7bbc94ef0e8,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Duquesne,Dukes,fea46ac5-6dad-43cd-a770-75554dbcc118,Atlantic 10,db136c00-f45b-4af6-bc7d-ffff216f2e5d
Canisius,Golden Griffins,0113eea0-c943-4fff-9780-ae0fb099e7ef,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Rider,Broncs,0b73b9b9-1e29-4b14-b5d8-0405fe942e32,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Marist,Red Foxes,15d31915-fbd6-4ae3-8e4b-f3b563c56a18,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Iona,Gaels,255c2a87-40c0-4989-bbb9-d286aac5d28e,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Monmouth,Hawks,3db7336c-c18a-441b-912e-e2a4408f12ea,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Quinnipiac,Bobcats,6a8d2a24-2128-47a0-913f-3d29e9d6592c,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Manhattan,Jaspers,7a270923-01d6-4a6f-a93e-e8786266d502,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Fairfield,Stags,a381465b-4530-4a00-a50c-5253cd7695a0,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Siena,Saints,aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
St. Peter's,Peacocks,e66d7ed2-9b4c-48c8-adaa-a276793b057d,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
Niagara,Purple Eagles,f7575278-12ec-494a-b544-427c1759d43d,Metro Atlantic Athletic,ec86f5b1-17c7-470f-9bcd-b86f61b76945
