team,w_l,wins,losses,win_loss_pct,offensive_opp_pts,offensive_opp_ppg,defensive_opp_pts,defensive_opp_ppg,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_free_throws_made,total_free_throw_att,total_free_throw_pct,total_steals,steal_pct,total_assists,total_turnovers,turnover_ratio,total_blocks,total_block_pct,total_rebounds,average_rebounds,total_opp_rebounds,average_opp_rebounds,reb_margin,Seed,team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made-1,total_field_goals_att-1,total_field_goals_pct-1,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made-1,total_three_points_att-1,total_three_points_pct-1,total_blocked_att,total_free_throws_made-1,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds-1,total_assists-1,total_turnovers-1,total_assists_turnover_ratio,total_steals-1,total_blocks-1,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds-1,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att,Currentcoach,Month,Year,Sign,ChineseZodiac,Age
Lehigh,20-10,20,10,66.700000000000003,2404,80.099999999999994,2316,77.200000000000003,832,1721,48.299999999999997,282,664,42.5,458,594,77.099999999999994,164,5.5,461,405,1.14,71,2.3999999999999999,1078,35.899999999999999,1050,35,0.90000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,29-2,29,2,93.5,2785,89.799999999999997,2013,64.900000000000006,1007,1887,53.399999999999999,244,664,36.700000000000003,527,684,77,233,7.5,569,317,1.79,174,5.5999999999999996,1211,39.100000000000001,1008,32.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty,27-6,27,6,81.799999999999997,2442,74,1998,60.5,893,1820,49.100000000000001,293,796,36.799999999999997,363,473,76.700000000000003,215,6.5,489,365,1.34,89,2.7000000000000002,1082,32.799999999999997,1008,30.5,2.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholls St.,13-17,13,17,43.299999999999997,2191,73,2239,74.599999999999994,784,1857,42.200000000000003,313,854,36.700000000000003,310,404,76.700000000000003,200,6.7000000000000002,418,378,1.11,124,4.0999999999999996,1008,33.600000000000001,1202,40.100000000000001,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette,23-7,23,7,76.700000000000003,2316,77.200000000000003,2059,68.599999999999994,796,1712,46.5,280,711,39.399999999999999,444,579,76.700000000000003,148,4.9000000000000004,409,428,0.96,136,4.5,1130,37.700000000000003,991,33,4.5999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Salle,9-20,9,20,31,1962,67.700000000000003,2110,72.799999999999997,677,1685,40.200000000000003,241,725,33.200000000000003,367,479,76.599999999999994,218,7.5,361,413,0.87,89,3.1000000000000001,985,34,1032,35.600000000000001,-1.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Col. of Charleston,23-8,23,8,74.200000000000003,2313,74.599999999999994,2134,68.799999999999997,823,1710,48.100000000000001,213,630,33.799999999999997,454,594,76.400000000000006,205,6.5999999999999996,356,328,1.09,70,2.2999999999999998,1004,32.399999999999999,973,31.399999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,23-7,23,7,76.700000000000003,2234,74.5,1866,62.200000000000003,771,1620,47.600000000000001,292,733,39.799999999999997,400,525,76.200000000000003,202,6.7000000000000002,463,345,1.34,68,2.2999999999999998,977,32.600000000000001,885,29.5,3.1000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,27-3,27,3,90,2472,82.400000000000006,2012,67.099999999999994,902,1805,50,201,569,35.299999999999997,467,613,76.200000000000003,182,6.0999999999999996,561,335,1.67,165,5.5,1136,37.899999999999999,1029,34.299999999999997,3.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperdine,15-17,15,17,46.899999999999999,2409,75.299999999999997,2357,73.700000000000003,808,1827,44.200000000000003,290,767,37.799999999999997,503,662,76,213,6.7000000000000002,454,406,1.12,91,2.7999999999999998,1022,31.899999999999999,1128,35.299999999999997,-3.2999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,8-22,8,22,26.699999999999999,2086,69.5,2319,77.299999999999997,755,1723,43.799999999999997,227,622,36.5,349,460,75.900000000000006,142,4.7000000000000002,354,408,0.87,78,2.6000000000000001,1041,34.700000000000003,982,32.700000000000003,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,25-5,25,5,83.299999999999997,2451,81.700000000000003,2202,73.400000000000006,852,1853,46,201,635,31.699999999999999,546,720,75.799999999999997,280,9.3000000000000007,390,401,0.97,133,4.4000000000000004,1162,38.700000000000003,1021,34,4.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell,20-12,20,12,62.5,2426,75.799999999999997,2244,70.099999999999994,840,1843,45.600000000000001,307,892,34.399999999999999,439,579,75.799999999999997,209,6.5,469,325,1.44,103,3.2000000000000002,1022,31.899999999999999,1107,34.600000000000001,-2.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drexel,13-18,13,18,41.899999999999999,2364,76.299999999999997,2402,77.5,850,1841,46.200000000000003,232,650,35.700000000000003,432,570,75.799999999999997,135,4.4000000000000004,450,361,1.25,60,1.8999999999999999,1091,35.200000000000003,1012,32.600000000000001,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart,15-17,15,17,46.899999999999999,2558,79.900000000000006,2509,78.400000000000006,885,1926,46,243,681,35.700000000000003,545,722,75.5,170,5.2999999999999998,471,465,1.01,133,4.2000000000000002,1231,38.5,1090,34.100000000000001,4.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake,24-8,24,8,75,2432,76,2247,70.200000000000003,858,1816,47.200000000000003,268,732,36.600000000000001,448,594,75.400000000000006,170,5.2999999999999998,498,426,1.17,125,3.8999999999999999,1147,35.799999999999997,1077,33.700000000000003,2.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeastern,20-10,20,10,66.700000000000003,2279,76,2119,70.599999999999994,784,1624,48.299999999999997,288,747,38.600000000000001,423,561,75.400000000000006,187,6.2000000000000002,426,343,1.24,65,2.2000000000000002,943,31.399999999999999,954,31.800000000000001,-0.40000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Martin,12-19,12,19,38.700000000000003,2356,76,2486,80.200000000000003,854,1915,44.600000000000001,250,726,34.399999999999999,398,528,75.400000000000006,223,7.2000000000000002,441,418,1.06,88,2.7999999999999998,1062,34.299999999999997,1125,36.299999999999997,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington St.,11-19,11,19,36.700000000000003,2265,75.5,2348,78.299999999999997,790,1749,45.200000000000003,282,768,36.700000000000003,403,535,75.299999999999997,160,5.2999999999999998,448,406,1.10,85,2.7999999999999998,1012,33.700000000000003,1076,35.899999999999999,-2.1000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipscomb,25-6,25,6,80.599999999999994,2602,83.900000000000006,2135,68.900000000000006,903,1870,48.299999999999997,274,737,37.200000000000003,522,694,75.200000000000003,238,7.7000000000000002,541,416,1.30,85,2.7000000000000002,1169,37.700000000000003,1021,32.899999999999999,4.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,24-6,24,6,80,2216,73.900000000000006,1910,63.700000000000003,763,1680,45.399999999999999,228,662,34.399999999999999,462,617,74.900000000000006,167,5.5999999999999996,352,333,1.06,120,4,1060,35.299999999999997,943,31.399999999999999,3.8999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,27-2,27,2,93.099999999999994,2091,72.099999999999994,1569,54.100000000000001,750,1557,48.200000000000003,244,590,41.399999999999999,347,464,74.799999999999997,161,5.5999999999999996,425,268,1.59,113,3.8999999999999999,1024,35.299999999999997,848,29.199999999999999,6.0999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,21-9,21,9,70,2357,78.599999999999994,2201,73.400000000000006,780,1706,45.700000000000003,244,674,36.200000000000003,553,740,74.700000000000003,192,6.4000000000000004,466,369,1.26,100,3.2999999999999998,1073,35.799999999999997,1034,34.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,13-17,13,17,43.299999999999997,2082,69.400000000000006,2074,69.099999999999994,714,1797,39.700000000000003,252,796,31.699999999999999,402,538,74.700000000000003,173,5.7999999999999998,386,286,1.35,137,4.5999999999999996,1095,36.5,1172,39.100000000000001,-2.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,18-12,18,12,60,2453,81.799999999999997,2418,80.599999999999994,841,1894,44.399999999999999,267,777,34.399999999999999,504,675,74.700000000000003,216,7.2000000000000002,445,400,1.11,116,3.8999999999999999,1064,35.5,1147,38.200000000000003,-2.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNI,15-17,15,17,46.899999999999999,2101,65.700000000000003,2115,66.099999999999994,725,1736,41.799999999999997,262,752,34.799999999999997,389,521,74.700000000000003,156,4.9000000000000004,352,374,0.94,70,2.2000000000000002,1046,32.700000000000003,1055,33,-0.29999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah St.,25-6,25,6,80.599999999999994,2450,79,2071,66.799999999999997,862,1820,47.399999999999999,243,689,35.299999999999997,483,647,74.700000000000003,195,6.2999999999999998,534,383,1.39,132,4.2999999999999998,1240,40,972,31.399999999999999,8.5999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weber St.,17-13,17,13,56.700000000000003,2410,80.299999999999997,2225,74.200000000000003,852,1766,48.200000000000003,229,625,36.600000000000001,477,639,74.599999999999994,157,5.2000000000000002,358,356,1.01,126,4.2000000000000002,1078,35.899999999999999,1095,36.5,-0.59999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee,9-22,9,22,29,2146,69.200000000000003,2315,74.700000000000003,765,1820,42,237,692,34.200000000000003,379,508,74.599999999999994,145,4.7000000000000002,356,382,0.93,94,3,1096,35.399999999999999,1125,36.299999999999997,-0.90000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,7-21,7,21,25,1698,60.600000000000001,1922,68.599999999999994,572,1387,41.200000000000003,182,588,31,372,499,74.5,135,4.7999999999999998,280,410,0.68,97,3.5,855,30.5,925,33,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,25-5,25,5,83.299999999999997,2605,86.799999999999997,2191,73,934,1995,46.799999999999997,266,714,37.299999999999997,471,632,74.5,222,7.4000000000000004,582,404,1.44,105,3.5,1301,43.399999999999999,996,33.200000000000003,10.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Joseph's,13-18,13,18,41.899999999999999,2176,70.200000000000003,2241,72.299999999999997,741,1821,40.700000000000003,267,821,32.5,427,573,74.5,172,5.5,374,289,1.29,102,3.2999999999999998,1075,34.700000000000003,1137,36.700000000000003,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,22-8,22,8,73.299999999999997,2141,71.400000000000006,1944,64.799999999999997,755,1664,45.399999999999999,286,793,36.100000000000001,345,463,74.5,153,5.0999999999999996,442,334,1.32,69,2.2999999999999998,1046,34.899999999999999,1014,33.799999999999997,1.1000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,22-9,22,9,71,2222,71.700000000000003,2013,64.900000000000006,789,1727,45.700000000000003,226,637,35.5,418,561,74.5,135,4.4000000000000004,410,411,1.00,147,4.7000000000000002,1220,39.399999999999999,946,30.5,8.8000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific,14-18,14,18,43.799999999999997,2138,66.799999999999997,2241,70,710,1681,42.200000000000003,198,566,35,520,698,74.5,199,6.2000000000000002,325,426,0.76,46,1.3999999999999999,1040,32.5,992,31,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford,17-14,17,14,54.799999999999997,2314,74.599999999999994,2247,72.5,796,1746,45.600000000000001,302,789,38.299999999999997,420,564,74.5,214,6.9000000000000004,434,379,1.15,64,2.1000000000000001,985,31.800000000000001,1084,35,-3.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagner,13-17,13,17,43.299999999999997,1974,65.799999999999997,2044,68.099999999999994,655,1696,38.600000000000001,236,773,30.5,428,575,74.400000000000006,184,6.0999999999999996,351,414,0.85,108,3.6000000000000001,1095,36.5,1009,33.600000000000001,2.8999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola Marymount,20-11,20,11,64.5,2094,67.5,1951,62.899999999999999,744,1627,45.700000000000003,146,460,31.699999999999999,460,618,74.400000000000006,224,7.2000000000000002,413,396,1.04,93,3,1005,32.399999999999999,906,29.199999999999999,3.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan St.,24-6,24,6,80,2396,79.900000000000006,1980,66,850,1737,48.899999999999999,251,652,38.5,445,598,74.400000000000006,161,5.4000000000000004,580,389,1.49,165,5.5,1236,41.200000000000003,982,32.700000000000003,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucknell,20-11,20,11,64.5,2357,76,2249,72.5,812,1815,44.700000000000003,286,823,34.799999999999997,447,601,74.400000000000006,164,5.2999999999999998,481,381,1.26,111,3.6000000000000001,1096,35.399999999999999,1101,35.5,-0.20000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette,10-20,10,20,33.299999999999997,2209,73.599999999999994,2349,78.299999999999997,802,1786,44.899999999999999,280,736,38,325,437,74.400000000000006,158,5.2999999999999998,419,402,1.04,126,4.2000000000000002,1001,33.399999999999999,1075,35.799999999999997,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany (NY),12-19,12,19,38.700000000000003,2096,67.599999999999994,2154,69.5,709,1705,41.600000000000001,266,766,34.700000000000003,412,554,74.400000000000006,193,6.2000000000000002,394,440,0.90,76,2.5,1057,34.100000000000001,1066,34.399999999999999,-0.29999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,16-16,16,16,50,2469,77.200000000000003,2451,76.599999999999994,843,1801,46.799999999999997,302,788,38.299999999999997,481,647,74.299999999999997,186,5.7999999999999998,561,409,1.37,92,2.8999999999999999,1018,31.800000000000001,1144,35.799999999999997,-3.8999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,16-10,16,10,61.5,1812,69.700000000000003,1787,68.700000000000003,636,1548,41.100000000000001,196,632,31,344,463,74.299999999999997,162,6.2000000000000002,277,335,0.83,70,2.7000000000000002,950,36.5,932,35.799999999999997,0.69999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville St.,24-9,24,9,72.700000000000003,2574,78,2283,69.200000000000003,953,2062,46.200000000000003,200,633,31.600000000000001,468,630,74.299999999999997,246,7.5,446,439,1.02,136,4.0999999999999996,1310,39.700000000000003,1100,33.299999999999997,6.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Houston St.,20-10,20,10,66.700000000000003,2263,75.400000000000006,2089,69.599999999999994,811,1825,44.399999999999999,283,769,36.799999999999997,358,482,74.299999999999997,228,7.5999999999999996,498,381,1.31,89,3,1082,36.100000000000001,1034,34.5,1.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fla. Atlantic,17-13,17,13,56.700000000000003,2139,71.299999999999997,2042,68.099999999999994,746,1807,41.299999999999997,266,817,32.600000000000001,381,513,74.299999999999997,169,5.5999999999999996,385,444,0.87,85,2.7999999999999998,1200,40,1064,35.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Arlington,15-15,15,15,50,2072,69.099999999999994,2099,70,707,1731,40.799999999999997,214,699,30.600000000000001,444,598,74.200000000000003,194,6.5,382,430,0.89,88,2.8999999999999999,1127,37.600000000000001,1051,35,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,16-14,16,14,53.299999999999997,2171,72.400000000000006,2094,69.799999999999997,786,1766,44.5,266,756,35.200000000000003,333,449,74.200000000000003,173,5.7999999999999998,396,330,1.20,59,2,984,32.799999999999997,1026,34.200000000000003,-1.3999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida St.,24-6,24,6,80,2285,76.200000000000003,2030,67.700000000000003,787,1762,44.700000000000003,223,672,33.200000000000003,488,658,74.200000000000003,218,7.2999999999999998,395,408,0.97,128,4.2999999999999998,1116,37.200000000000003,978,32.600000000000001,4.5999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSA,17-13,17,13,56.700000000000003,2357,78.599999999999994,2241,74.700000000000003,852,1949,43.700000000000003,280,797,35.100000000000001,373,503,74.200000000000003,204,6.7999999999999998,391,377,1.04,78,2.6000000000000001,1152,38.399999999999999,1167,38.899999999999999,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
