team_id,team_name,rank,total_wins,total_losses,adj_win_perc,str_of_sched,rpi
327f09e2-e75f-4014-8ef7-caf9202cd583,Bobcats,146,13,17,0.4048,0.5497,0.5134
f770d3a2-221c-49ce-9c7a-680f7417fe9e,Mountaineers,147,12,19,0.315,0.5786,0.5127
2c93a75d-5449-4ec1-9ca2-1e6c812399a4,Panthers,148,14,18,0.4306,0.5386,0.5116
eb157f98-0697-459c-9293-ddb162ceb28b,Tigers,149,18,12,0.6812,0.4545,0.5112
984e7518-e418-45d5-9797-979b8c2085c1,Bison,150,16,15,0.5333,0.5031,0.5107
b03bb029-4499-4a2c-9074-5071ed360b21,Scarlet Knights,151,14,16,0.4328,0.5364,0.5105
68a3227f-677f-43b0-9a3a-cad79d0df9e2,Rebels,152,17,13,0.5347,0.5011,0.5095
09920a5f-1b25-466c-b5ae-6167214f5ba9,Ospreys,153,14,17,0.4961,0.5136,0.5093
315c4deb-3c9d-413d-a369-7168f2545d21,Cardinals,154,15,16,0.4969,0.5123,0.5085
6637ac5f-59c2-4888-af34-a86d138ccfb3,Red Flash,155,16,14,0.5538,0.4933,0.5084
dba620d9-7282-4638-bf05-13caf48eeed1,Hawks,156,17,15,0.5608,0.4908,0.5083
0f63a6f5-bda7-4fd9-9271-8d33f555ca19,Yellow Jackets,157,14,18,0.3857,0.5481,0.5075
31aedd91-a77e-46c1-8bdc-80e9860c159d,Crusaders,158,16,17,0.5101,0.506,0.507
7c2b372b-b5f0-466e-90cf-880beec57584,Mavericks,159,15,15,0.529,0.4976,0.5055
ca441726-0c57-4456-b1e7-fff098484fb5,Eagles,160,15,12,0.5935,0.4746,0.5043
18585f21-1d63-4400-974c-433fd5073c34,Warhawks,161,16,14,0.5614,0.4843,0.5036
4b3ff02c-e0ba-435b-a565-6075bc491684,Eagles,162,14,17,0.3885,0.5405,0.5025
fea46ac5-6dad-43cd-a770-75554dbcc118,Dukes,163,19,12,0.5639,0.4813,0.502
63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,Blazers,164,16,13,0.5324,0.4917,0.5019
3a000455-de7c-4ca8-880e-abdce7f21da9,Trojans,165,15,16,0.4264,0.5253,0.5006
3f4515ea-4472-46b9-ac9e-16d7d8f22a38,Mustangs,165,14,16,0.4058,0.5323,0.5006
61a3e5ab-1be3-4694-b83f-edae0953f409,Phoenix,167,15,16,0.504,0.4987,0.5
1165ca31-f181-4206-b727-c4e897e4b5cd,RedHawks,168,13,17,0.4318,0.5222,0.4996
a8ac24ca-3b7a-4610-ad99-042661584c48,Golden Panthers,169,15,12,0.5702,0.4757,0.4994
eda6c307-1e0f-4a28-82f4-ee9653b343fb,Cardinals,170,15,12,0.6106,0.4622,0.4993
