team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
Vanderbilt,Commodores,72971b77-1d35-40b3-bb63-4c5b29f3d22b,32,6450.0,775,1775,956,486,6450.0,0.508,289,819,0.353,124,477,642,0.743,253,719,972,392,379,1.03,154,108,635,6,2316,147,1,392,296,0,13,864,2398,2057.48,0.563,4.59,12.25,9.25,201.6,72.4,7.91,22.47,30.38,12.3,4.81,3.38,11.84,19.84,0.03,3.88,24.22,55.47,9.03,25.59,14.91,20.06,15.19,29.88,27.0,74.94,64.3
Missouri,Tigers,77ca152a-cb2f-48a5-97b2-492351250d94,33,6650.0,794,1765,966,488,6650.0,0.505,306,799,0.383,111,505,688,0.734,286,828,1114,443,470,0.94,170,140,595,9,2399,147,1,416,356,0,21,822,2642,2067.72,0.58,4.45,12.61,10.79,201.5,72.7,8.67,25.09,33.76,13.4,5.15,4.24,14.24,18.03,0.03,3.36,24.06,53.48,9.27,24.21,15.3,20.85,14.79,29.27,24.91,80.06,62.66
Florida,Gators,912f8837-1d81-4ef9-a576-a21f271d4c64,34,6875.0,893,2065,1233,585,6875.0,0.474,308,832,0.37,104,483,673,0.718,317,780,1097,445,334,1.33,236,165,591,0,2577,292,0,557,389,0,6,948,2824,2361.12,0.546,8.59,16.38,11.44,202.2,75.8,9.32,22.94,32.26,13.1,6.94,4.85,9.82,17.38,0.0,3.06,26.26,60.74,9.06,24.47,14.21,19.79,17.21,36.26,27.88,83.06,69.44
Mississippi State,Bulldogs,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,37,7450.0,1000,2151,1349,744,7450.0,0.552,256,802,0.319,109,460,666,0.691,354,876,1230,491,483,1.02,243,198,614,7,2716,280,3,607,398,0,10,1280,3038,2444.04,0.556,7.57,16.41,10.76,201.4,73.4,9.57,23.68,33.24,13.3,6.57,5.35,13.05,16.59,0.08,2.95,27.03,58.14,6.92,21.68,12.43,18.0,20.11,36.46,34.59,82.11,66.06
Tennessee,Volunteers,b827dbdf-230f-4916-9703-3bb9004e26eb,35,7050.0,885,2012,1294,612,7050.0,0.473,273,718,0.38,106,541,715,0.757,352,798,1150,550,422,1.3,222,156,680,5,2584,236,1,551,418,0,17,976,2939,2326.6,0.555,6.74,15.74,11.94,201.4,73.8,10.06,22.8,32.86,15.7,6.34,4.46,12.06,19.43,0.03,3.03,25.29,57.49,7.8,20.51,15.46,20.43,17.49,36.97,27.89,83.97,66.47
Alabama,Crimson Tide,c2104cdc-c83d-40d2-a3cd-df986e29f5d3,36,7200.0,910,1974,1272,681,7200.0,0.535,229,702,0.326,134,555,828,0.67,320,883,1203,458,513,0.89,228,192,678,8,2604,254,1,497,355,5,15,1206,2835,2338.32,0.557,7.06,13.81,9.86,200.0,72.3,8.89,24.53,33.42,12.7,6.33,5.33,14.25,18.83,0.03,3.72,25.28,54.83,6.36,19.5,15.42,23.0,18.92,35.33,33.5,78.75,64.95
Arkansas,Razorbacks,c70c23c4-ab09-4797-a1af-792c848ab17f,35,7075.0,1005,2119,1440,736,7075.0,0.511,269,679,0.396,115,540,793,0.681,302,807,1109,501,382,1.31,218,163,702,6,2819,354,4,616,401,0,7,1164,3061,2467.92,0.571,10.11,17.6,11.46,202.1,80.5,8.63,23.06,31.69,14.3,6.23,4.66,10.91,20.06,0.11,3.29,28.71,60.54,7.69,19.4,15.43,22.66,21.03,41.14,33.26,87.46,70.51
Ole Miss,Rebels,d7d668ec-edaa-4d6b-be25-2ebba4128643,32,6500.0,841,1999,1211,590,6500.0,0.487,251,788,0.319,103,493,675,0.73,313,747,1060,468,365,1.28,200,131,609,9,2426,222,0,463,405,0,15,972,2580,2296.0,0.528,6.94,14.47,12.66,203.1,75.8,9.78,23.34,33.13,14.6,6.25,4.09,11.41,19.03,0.0,3.22,26.28,62.47,7.84,24.63,15.41,21.09,18.44,37.84,30.38,80.63,71.75
Texas A&M,Aggies,ef184799-d79b-49d9-a662-991eaf4044cd,35,7000.0,976,2121,1421,746,7000.0,0.525,230,700,0.329,130,449,679,0.661,380,961,1341,538,475,1.13,190,209,574,7,2631,362,6,445,485,0,4,1306,3059,2419.76,0.544,10.34,12.71,13.86,200.0,75.2,10.86,27.46,38.31,15.4,5.43,5.97,13.57,16.4,0.17,3.71,27.89,60.6,6.57,20.0,12.83,19.4,21.31,40.6,37.31,87.4,69.14
Miami (OH),RedHawks,1165ca31-f181-4206-b727-c4e897e4b5cd,34,6950.0,886,2006,1128,585,6950.0,0.519,301,878,0.343,18,376,548,0.686,277,851,1128,453,453,1.0,257,88,569,7,2449,209,1,463,275,0,1,926,2630,2247.12,0.545,6.15,13.62,8.09,204.4,72.0,8.15,25.03,33.18,13.3,7.56,2.59,13.32,16.74,0.03,0.53,26.06,59.0,8.85,25.82,11.06,16.12,17.21,33.18,27.24,77.35,66.09
Eastern Michigan,Eagles,2ed86226-3fff-4083-90fa-6b02307e6f73,35,7075.0,933,2010,1312,699,7075.0,0.533,234,698,0.335,20,409,599,0.683,305,834,1139,450,447,1.01,303,227,559,6,2509,316,1,579,387,0,1,1230,2914,2273.56,0.552,9.03,16.54,11.06,202.1,71.7,8.71,23.83,32.54,12.9,8.66,6.49,12.77,15.97,0.03,0.57,26.66,57.43,6.69,19.94,11.69,17.11,19.97,37.49,35.14,83.26,64.96
Ball State,Cardinals,315c4deb-3c9d-413d-a369-7168f2545d21,32,6475.0,856,1895,1168,611,6475.0,0.523,245,727,0.337,11,453,643,0.705,278,840,1118,453,423,1.07,170,112,547,4,2410,187,0,423,341,0,2,1024,2611,2177.92,0.553,5.84,13.22,10.66,202.3,75.3,8.69,26.25,34.94,14.2,5.31,3.5,13.22,17.09,0.0,0.34,26.75,59.22,7.66,22.72,14.16,20.09,19.09,36.5,32.0,81.59,68.06
Ohio,Bobcats,327f09e2-e75f-4014-8ef7-caf9202cd583,31,6400.0,839,1893,1232,595,6400.0,0.483,244,661,0.369,27,412,579,0.712,204,813,1017,443,412,1.08,207,103,500,3,2334,176,0,454,260,0,5,983,2471,2147.76,0.543,5.68,14.65,8.39,206.5,75.3,6.58,26.23,32.81,14.3,6.68,3.32,13.29,16.13,0.0,0.87,27.06,61.06,7.87,21.32,13.29,18.68,19.19,39.74,31.71,79.71,69.28
Toledo,Rockets,34dd83ac-64f2-4b73-8577-899b2a46f5cc,34,6800.0,913,1953,1138,586,6800.0,0.515,327,815,0.401,24,534,725,0.737,281,881,1162,529,395,1.34,127,135,541,0,2687,90,1,378,368,0,1,987,3014,2272.0,0.591,2.65,11.12,10.82,200.0,79.0,8.26,25.91,34.18,15.6,3.74,3.97,11.62,15.91,0.03,0.71,26.85,57.44,9.62,23.97,15.71,21.32,17.24,33.47,29.03,88.65,66.82
Kent State,Golden Flashes,3da4798c-2d58-4dac-b66e-ad145a91b544,34,6850.0,871,2046,1264,616,6850.0,0.487,255,782,0.326,18,485,666,0.728,346,793,1139,393,442,0.89,201,123,638,9,2482,237,1,465,388,0,2,1051,2540,2339.04,0.531,6.97,13.68,11.41,201.5,73.0,10.18,23.32,33.5,11.6,5.91,3.62,13.0,18.76,0.03,0.53,25.62,60.18,7.5,23.0,14.26,19.59,18.12,37.18,30.91,74.71,68.8
Northern Illinois,Huskies,3f0ac618-3742-471a-9d1f-03e08f3deca2,32,6425.0,849,1861,1349,680,6425.0,0.504,169,512,0.33,27,452,622,0.727,267,715,982,295,378,0.78,213,58,594,12,2319,281,0,467,344,0,0,1144,2307,2134.68,0.543,8.78,14.59,10.75,200.8,72.5,8.34,22.34,30.69,9.2,6.66,1.81,11.81,18.56,0.0,0.84,26.53,58.16,5.28,16.0,14.13,19.44,21.25,42.16,35.75,72.09,66.71
Central Michigan,Chippewas,472c22e0-843d-472c-a871-f1593fb0725d,36,7325.0,953,2187,1149,597,7325.0,0.52,356,1038,0.343,10,573,711,0.806,339,837,1176,492,417,1.18,228,119,573,1,2835,167,0,503,405,0,0,996,3061,2499.84,0.567,4.64,13.97,11.25,203.5,78.8,9.42,23.25,32.67,13.7,6.33,3.31,11.58,15.92,0.0,0.28,26.47,60.75,9.89,28.83,15.92,19.75,16.58,31.92,27.67,85.03,69.44
