 


  
  

NCAA Men's Basketball
Division IWon-Lost Percentage
Through Games 03/08/2019


"Rank","Name","W","L","Pct"
"","SIUE","10","21","32.3"
"309","Saint Peter's","10","22","31.3"
"310","La Salle","9","20","31.0"
"","Morgan St.","9","20","31.0"
"","Western Ill.","9","20","31.0"
"","Northern Ariz.","9","20","31.0"
"314","Tennessee St.","9","21","30.0"
"","Vanderbilt","9","21","30.0"
"","McNeese","9","21","30.0"
"317","UNCW","9","22","29.0"
"","Mt. St. Mary's","9","22","29.0"
"","Binghamton","9","22","29.0"
"","Fairfield","9","22","29.0"
"","UC Riverside","9","22","29.0"
"","Milwaukee","9","22","29.0"
"323","UTEP","8","20","28.6"
"324","Denver","8","22","26.7"
"","California","8","22","26.7"
"","George Washington","8","22","26.7"
"327","Tennessee Tech","8","23","25.8"
"","Western Mich.","8","23","25.8"
"329","Charlotte","7","21","25.0"
"330","Wyoming","7","23","23.3"
"331","Stetson","7","24","22.6"
"","Coppin St.","7","24","22.6"
"","UMES","7","24","22.6"
"334","South Carolina St.","7","25","21.9"
"","Portland","7","25","21.9"
"","Western Caro.","7","25","21.9"
"337","Cal Poly","6","22","21.4"
"338","Incarnate Word","6","24","20.0"
"","Southern U.","6","24","20.0"
"340","Mississippi Val.","6","25","19.4"
"341","Kennesaw St.","6","26","18.8"
"","USC Upstate","6","26","18.8"
"343","Delaware St.","5","24","17.2"
"","New Hampshire","5","24","17.2"
"345","Idaho","5","25","16.7"
"346","Alabama A&M","5","26","16.1"
"","Maine","5","26","16.1"
"348","San Jose St.","4","25","13.8"
"","Tulane","4","25","13.8"
"350","UNC Asheville","4","27","12.9"
"351","Chicago St.","3","27","10.0"
Reclassifying
"NR","California Baptist","16","13","55.2"
"NR","North Ala.","10","22","31.3"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
