 


  
  

NCAA Men's Basketball
Division IScoring Offense
Through Games 03/08/2019


"Rank","Name","GM","W-L","PTS","PPG"
"193","Miami (FL)","30","13-17","2162","72.1"
"194","Xavier","30","16-14","2161","72.0"
"","American","30","15-15","2161","72.0"
"196","Western Caro.","32","7-25","2304","72.0"
"","Morgan St.","29","9-20","2088","72.0"
"198","Grambling","30","15-15","2157","71.9"
"","Baylor","30","19-11","2157","71.9"
"200","Eastern Ill.","32","14-18","2299","71.8"
"201","Oklahoma","30","19-11","2153","71.8"
"202","Cincinnati","30","25-5","2152","71.7"
"203","New Orleans","29","17-12","2080","71.7"
"","CSU Bakersfield","29","16-13","2080","71.7"
"205","Texas","30","16-14","2151","71.7"
"","Eastern Wash.","30","13-17","2151","71.7"
"207","Boston College","29","14-15","2079","71.7"
"208","Maryland","31","22-9","2222","71.7"
"209","SMU","29","13-16","2078","71.7"
"210","Boise St.","30","11-19","2149","71.6"
"211","Miami (OH)","31","15-16","2216","71.5"
"","VCU","31","25-6","2216","71.5"
"","Southeast Mo. St.","31","10-21","2216","71.5"
"214","Nebraska","30","15-15","2142","71.4"
"215","Stony Brook","31","24-7","2213","71.4"
"216","Davidson","30","22-8","2141","71.4"
"217","Arizona","30","17-13","2140","71.3"
"218","Fla. Atlantic","30","17-13","2139","71.3"
"219","FGCU","32","14-18","2280","71.3"
"220","Washington","30","24-6","2135","71.2"
"221","Minnesota","31","19-12","2206","71.2"
"222","Central Conn. St.","31","11-20","2205","71.1"
"223","Chattanooga","31","12-19","2204","71.1"
"224","Providence","30","16-14","2131","71.0"
"225","St. Francis Brooklyn","32","17-15","2273","71.0"
"226","Army West Point","32","13-19","2268","70.9"
"227","Sacramento St.","28","14-14","1984","70.9"
"228","Richmond","30","12-18","2125","70.8"
"","Indiana","30","16-14","2125","70.8"
"230","Massachusetts","30","11-19","2124","70.8"
"231","Harvard","26","16-10","1840","70.8"
"232","Delaware","31","16-15","2193","70.7"
"233","North Texas","30","20-10","2122","70.7"
"234","Canisius","31","15-16","2191","70.7"
"235","Michigan","30","26-4","2120","70.7"
"236","Texas A&M","29","13-16","2049","70.7"
"237","SFA","29","14-15","2048","70.6"
"","South Dakota","29","13-16","2048","70.6"
"239","Western Ill.","29","9-20","2046","70.6"
"240","George Mason","30","16-14","2115","70.5"
"","Oregon","30","18-12","2115","70.5"
"242","UAB","30","17-13","2114","70.5"
"243","Ohio","30","14-16","2113","70.4"
"244","South Carolina St.","32","7-25","2252","70.4"
"245","Pittsburgh","30","12-18","2111","70.4"
"246","James Madison","31","13-18","2181","70.4"
"247","Elon","31","11-20","2180","70.3"
"248","Western Mich.","31","8-23","2179","70.3"
"249","UTRGV","33","18-15","2318","70.2"
"250","Saint Joseph's","31","13-18","2176","70.2"
"251","Wichita St.","29","16-13","2035","70.2"
"252","Syracuse","30","19-11","2101","70.0"
"253","NJIT","33","21-12","2310","70.0"
"254","Evansville","32","11-21","2234","69.8"
"255","N.C. A&T","29","17-12","2022","69.7"
"256","McNeese","30","9-21","2091","69.7"
"257","Princeton","26","16-10","1812","69.7"
"258","Eastern Mich.","31","15-16","2160","69.7"
"259","Longwood","32","15-17","2228","69.6"
"260","Bryant","30","10-20","2088","69.6"
"261","Denver","30","8-22","2086","69.5"
"262","Wisconsin","30","21-9","2085","69.5"
"","Penn St.","30","13-17","2085","69.5"
"264","Clemson","30","18-12","2084","69.5"
