 


  
  

NCAA Men's Basketball
Division IScoring Defense
Through Games 03/08/2019


"Rank","Name","GM","W-L","OPP PTS","OPP PPG"
"235","IUPUI","32","16-16","2349","73.4"
"236","Southern U.","30","6-24","2203","73.4"
"237","Ohio","30","14-16","2208","73.6"
"238","UMKC","30","10-20","2209","73.6"
"239","Pepperdine","32","15-17","2357","73.7"
"240","Northwestern St.","30","11-19","2210","73.7"
"241","Georgia St.","30","21-9","2212","73.7"
"242","Mt. St. Mary's","31","9-22","2286","73.7"
"243","FGCU","32","14-18","2360","73.8"
"244","Belmont","30","26-4","2213","73.8"
"245","East Carolina","29","10-19","2144","73.9"
"246","McNeese","30","9-21","2220","74.0"
"247","Creighton","30","17-13","2221","74.0"
"248","Weber St.","30","17-13","2225","74.2"
"249","Georgia","30","11-19","2227","74.2"
"","St. John's (NY)","30","20-10","2227","74.2"
"251","DePaul","28","15-13","2080","74.3"
"252","Canisius","31","15-16","2303","74.3"
"253","Chattanooga","31","12-19","2308","74.5"
"254","UIC","32","16-16","2385","74.5"
"255","Eastern Wash.","30","13-17","2237","74.6"
"256","UNC Asheville","31","4-27","2313","74.6"
"257","Utah","29","16-13","2164","74.6"
"258","Nicholls St.","30","13-17","2239","74.6"
"259","Portland","32","7-25","2389","74.7"
"260","Milwaukee","31","9-22","2315","74.7"
"261","Cal Poly","28","6-22","2091","74.7"
"262","UTSA","30","17-13","2241","74.7"
"263","Portland St.","30","15-15","2243","74.8"
"264","USC Upstate","32","6-26","2395","74.8"
"265","Rider","30","16-14","2246","74.9"
"266","Troy","29","11-18","2175","75.0"
"267","Jacksonville","32","12-20","2402","75.1"
"268","Wyoming","30","7-23","2252","75.1"
"269","La.-Monroe","29","15-14","2179","75.1"
"270","Illinois","30","11-19","2259","75.3"
"271","Samford","32","17-15","2410","75.3"
"272","Ga. Southern","30","20-10","2265","75.5"
"273","UMass Lowell","31","15-16","2342","75.5"
"274","Saint Francis (PA)","30","17-13","2270","75.7"
"275","Little Rock","30","10-20","2274","75.8"
"","Incarnate Word","30","6-24","2274","75.8"
"277","Tennessee Tech","31","8-23","2350","75.8"
"278","Colorado St.","30","12-18","2275","75.8"
"279","Wake Forest","29","11-18","2200","75.9"
"280","Elon","31","11-20","2352","75.9"
"281","Southern Utah","29","14-15","2202","75.9"
"282","Coppin St.","31","7-24","2354","75.9"
"283","BYU","31","19-12","2356","76.0"
"","Niagara","32","13-19","2432","76.0"
"285","Central Mich.","31","21-10","2357","76.0"
"286","Western Mich.","31","8-23","2358","76.1"
"287","New Mexico","29","13-16","2207","76.1"
"288","Long Beach St.","32","14-18","2443","76.3"
"289","Central Conn. St.","31","11-20","2367","76.4"
"290","Memphis","30","18-12","2294","76.5"
"291","West Virginia","30","12-18","2296","76.5"
"292","Oakland","32","16-16","2451","76.6"
"293","Morgan St.","29","9-20","2223","76.7"
"294","William & Mary","30","14-16","2300","76.7"
"295","North Florida","33","16-17","2531","76.7"
"296","Southeast Mo. St.","31","10-21","2378","76.7"
"297","Kennesaw St.","32","6-26","2455","76.7"
"298","Iona","30","15-15","2303","76.8"
"","Central Ark.","30","12-18","2303","76.8"
"300","Hampton","31","15-16","2380","76.8"
"301","Eastern Ill.","32","14-18","2457","76.8"
"302","Delaware St.","29","5-24","2229","76.9"
"303","South Carolina St.","32","7-25","2461","76.9"
"304","Arkansas St.","30","13-17","2310","77.0"
"305","Morehead St.","33","13-20","2543","77.1"
"306","Bryant","30","10-20","2314","77.1"
"307","Idaho","30","5-25","2315","77.2"
"308","Tulane","29","4-25","2238","77.2"
"309","Lehigh","30","20-10","2316","77.2"
"310","Denver","30","8-22","2319","77.3"
"311","Oral Roberts","31","11-20","2397","77.3"
"312","UCLA","30","16-14","2320","77.3"
"313","Rice","30","13-17","2321","77.4"
"314","Loyola Maryland","32","11-21","2477","77.4"
"315","Omaha","29","19-10","2245","77.4"
"316","Drexel","31","13-18","2402","77.5"
"317","Mississippi Val.","31","6-25","2407","77.6"
"318","Northern Ariz.","29","9-20","2252","77.7"
"319","Texas Southern","30","19-11","2330","77.7"
"320","California","30","8-22","2331","77.7"
"321","Tennessee St.","30","9-21","2332","77.7"
"322","Purdue Fort Wayne","31","17-14","2425","78.2"
"323","Washington St.","30","11-19","2348","78.3"
"","Georgetown","30","18-12","2348","78.3"
"325","Lafayette","30","10-20","2349","78.3"
"326","Stetson","31","7-24","2429","78.4"
"327","Sacred Heart","32","15-17","2509","78.4"
"328","Howard","31","16-15","2434","78.5"
"329","Winthrop","30","18-12","2358","78.6"
"330","Cleveland St.","31","10-21","2437","78.6"
"331","Idaho St.","28","10-18","2207","78.8"
"332","Youngstown St.","32","12-20","2526","78.9"
"333","Appalachian St.","30","11-19","2372","79.1"
"334","CSUN","31","13-18","2452","79.1"
"335","Detroit Mercy","31","11-20","2464","79.5"
"336","Montana St.","29","14-15","2307","79.6"
"337","Western Caro.","32","7-25","2563","80.1"
"338","UT Martin","31","12-19","2486","80.2"
"339","San Jose St.","29","4-25","2326","80.2"
"340","Green Bay","32","17-15","2567","80.2"
"341","Louisiana","30","18-12","2418","80.6"
"342","UNCW","31","9-22","2504","80.8"
"343","FIU","30","18-12","2426","80.9"
"344","VMI","31","11-20","2518","81.2"
"345","SIUE","31","10-21","2520","81.3"
"346","Marshall","30","17-13","2484","82.8"
"347","Houston Baptist","28","12-16","2327","83.1"
"348","Eastern Ky.","31","13-18","2577","83.1"
"349","Chicago St.","30","3-27","2548","84.9"
"350","The Citadel","30","12-18","2584","86.1"
"351","Savannah St.","30","11-19","2623","87.4"
Reclassifying
"NR","California Baptist","29","16-13","2110","72.8"
"NR","North Ala.","32","10-22","2358","73.7"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
