 


  
  

NCAA Men's Basketball
Division ISteals Per Game
Through Games 03/08/2019


"Rank","Name","GM","W-L","ST","STPG"
"","Howard","31","16-15","178","5.7"
"251","Ohio St.","30","18-12","172","5.7"
"","Eastern Wash.","30","13-17","172","5.7"
"253","UMass Lowell","31","15-16","177","5.7"
"254","Harvard","26","16-10","148","5.7"
"255","Troy","29","11-18","165","5.7"
"256","Bradley","32","18-14","181","5.7"
"257","Omaha","29","19-10","164","5.7"
"258","Akron","31","16-15","175","5.6"
"","Northern Ill.","31","15-16","175","5.6"
"260","Morehead St.","33","13-20","186","5.6"
"261","Fla. Atlantic","30","17-13","169","5.6"
"262","Cleveland St.","31","10-21","174","5.6"
"263","Oklahoma St.","30","11-19","168","5.6"
"","Wyoming","30","7-23","168","5.6"
"","Little Rock","30","10-20","168","5.6"
"266","Montana St.","29","14-15","162","5.6"
"267","Mississippi Val.","31","6-25","173","5.6"
"","Binghamton","31","9-22","173","5.6"
"269","Vermont","30","24-6","167","5.6"
"","Xavier","30","16-14","167","5.6"
"271","Virginia","29","27-2","161","5.6"
"272","Saint Joseph's","31","13-18","172","5.5"
"","Marist","31","12-19","172","5.5"
"","Central Conn. St.","31","11-20","172","5.5"
"275","Northwestern","30","13-17","166","5.5"
"276","South Dakota","29","13-16","160","5.5"
"277","Villanova","30","22-8","165","5.5"
"278","High Point","31","16-15","170","5.5"
"279","Portland","32","7-25","175","5.5"
"280","Lehigh","30","20-10","164","5.5"
"281","Northern Colo.","30","21-9","163","5.4"
"282","Navy","30","12-18","162","5.4"
"283","Saint Peter's","32","10-22","172","5.4"
"284","Tulsa","30","18-12","161","5.4"
"","Michigan St.","30","24-6","161","5.4"
"","Appalachian St.","30","11-19","161","5.4"
"287","Western Ill.","29","9-20","155","5.3"
"288","Washington St.","30","11-19","160","5.3"
"289","Coppin St.","31","7-24","165","5.3"
"290","Sacred Heart","32","15-17","170","5.3"
"","Drake","32","24-8","170","5.3"
"292","Colorado","29","18-11","154","5.3"
"293","Bucknell","31","20-11","164","5.3"
"294","Quinnipiac","29","16-13","153","5.3"
"","Dartmouth","29","11-18","153","5.3"
"296","Arizona","30","17-13","158","5.3"
"","Bryant","30","10-20","158","5.3"
"","Lafayette","30","10-20","158","5.3"
"","Wisconsin","30","21-9","158","5.3"
"300","Weber St.","30","17-13","157","5.2"
"301","Hawaii","29","17-12","151","5.2"
"302","Boston College","29","14-15","150","5.2"
"303","Rice","30","13-17","155","5.2"
"304","Toledo","31","25-6","160","5.2"
"305","William & Mary","30","14-16","154","5.1"
"306","Davidson","30","22-8","153","5.1"
"307","South Carolina St.","32","7-25","163","5.1"
"308","UC Santa Barbara","29","20-9","147","5.1"
"309","Dayton","30","20-10","152","5.1"
"310","UC Riverside","31","9-22","157","5.1"
"311","Cal Poly","28","6-22","141","5.0"
"312","George Washington","30","8-22","150","5.0"
"","Idaho St.","28","10-18","140","5.0"
"314","North Dakota St.","30","15-15","149","5.0"
"","Massachusetts","30","11-19","149","5.0"
"316","Marquette","30","23-7","148","4.9"
"317","Illinois St.","33","17-16","162","4.9"
"318","Minnesota","31","19-12","152","4.9"
"319","Wake Forest","29","11-18","142","4.9"
"","Air Force","29","13-16","142","4.9"
"321","UNI","32","15-17","156","4.9"
"322","Charlotte","28","7-21","135","4.8"
"323","Towson","31","10-21","149","4.8"
"324","McNeese","30","9-21","143","4.8"
"325","Western Mich.","31","8-23","147","4.7"
"326","Denver","30","8-22","142","4.7"
"327","Mt. St. Mary's","31","9-22","146","4.7"
"","Oral Roberts","31","11-20","146","4.7"
"","Santa Clara","31","16-15","146","4.7"
"330","Louisville","30","19-11","141","4.7"
"331","Missouri","29","14-15","136","4.7"
"","Utah","29","16-13","136","4.7"
"","Tulane","29","4-25","136","4.7"
"334","Milwaukee","31","9-22","145","4.7"
"335","Wichita St.","29","16-13","134","4.6"
"336","UTEP","28","8-20","129","4.6"
"337","Delaware","31","16-15","141","4.5"
"","UNCW","31","9-22","141","4.5"
"339","Vanderbilt","30","9-21","136","4.5"
"340","Winthrop","30","18-12","134","4.5"
"","Alabama","30","17-13","134","4.5"
"342","Seattle U","30","17-13","131","4.4"
"343","Maryland","31","22-9","135","4.4"
"","Drexel","31","13-18","135","4.4"
"345","Chattanooga","31","12-19","134","4.3"
"346","San Jose St.","29","4-25","124","4.3"
"347","Western Caro.","32","7-25","135","4.2"
"348","Elon","31","11-20","129","4.2"
"349","Niagara","32","13-19","128","4.0"
"","New Hampshire","29","5-24","116","4.0"
"351","Idaho","30","5-25","119","4.0"
Reclassifying
"NR","North Ala.","32","10-22","209","6.5"
"NR","California Baptist","29","16-13","142","4.9"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
