Seed,team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att,Currentcoach,Month,birth_year,Since,M_D_DOB,Sign,ChineseZodiac,Age,season_year
S15,Georgia State,Panthers,94ea835b-8ce9-4de2-a5b1-971548fea974,35,7075,937,2033,1194,614,7075,0.514,323,839,0.385,10,417,615,0.678,260,810,1070,455,395,1.15,256,160,639,7,2614,240,0,575,326,0,3,1032,2866,2303.6,0.567,6.86,16.43,9.31,202.1,74.7,7.43,23.14,30.57,13,7.31,4.57,11.29,18.26,0,0.29,26.77,58.09,9.23,23.97,11.91,17.57,17.54,34.11,29.49,81.89,65.82,Ron Hunter,4,1964,2011–12,407,Aries,Dragon,55,2017
W14,Montana,Grizzlies,e3848467-66c0-41e5-8283-02e3586d8601,34,6900,944,2021,1472,758,6900,0.515,186,549,0.339,32,551,780,0.706,343,807,1150,428,422,1.01,263,114,717,8,2625,194,1,607,437,0,2,1204,2852,2364.2,0.555,5.71,17.85,12.85,202.9,77.2,10.09,23.74,33.82,12.6,7.74,3.35,12.41,21.09,0.03,0.94,27.76,59.44,5.47,16.15,16.21,22.94,22.29,43.29,35.41,83.88,69.54,Travis DeCuire,11,1970,2014–15,1121,Scorpio,Dog,49,2017
W6,Houston,Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,35,7000,952,2066,1298,655,7000,0.505,297,768,0.387,71,484,674,0.718,352,890,1242,505,418,1.21,218,106,738,4,2685,216,2,549,407,1,14,965,3034,2362.56,0.568,6.17,15.69,11.63,200,76.7,10.06,25.43,35.49,14.4,6.23,3.03,11.94,21.09,0.06,2.03,27.2,59.03,8.49,21.94,13.83,19.26,18.71,37.09,27.57,86.69,67.5,Kelvin Sampson,10,1955,2014–15,1005,Libra,Goat,64,2017
S2,Cincinnati,Bearcats,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,36,7200,944,2100,1358,682,7200,0.502,262,742,0.353,105,523,756,0.692,424,865,1289,570,404,1.41,256,194,564,7,2673,272,0,659,536,0,2,1119,3189,2432.64,0.549,7.56,18.31,14.89,200,74.3,11.78,24.03,35.81,15.8,7.11,5.39,11.22,15.67,0,2.92,26.22,58.33,7.28,20.61,14.53,21,18.94,37.72,31.08,88.58,67.57,Mick Cronin,7,1971,2006–07,717,Cancer,Pig,48,2017
E4,Wichita State,Shockers,f38b58de-3273-4723-a78b-2f918e9aa2d5,33,6650,957,2009,1222,657,6650,0.538,300,787,0.381,111,517,700,0.739,341,878,1219,610,385,1.58,154,127,582,3,2731,147,2,450,456,0,5,1064,3221,2317,0.589,4.45,13.64,13.82,201.5,82.8,10.33,26.61,36.94,18.5,4.67,3.85,11.67,17.64,0.06,3.36,29,60.88,9.09,23.85,15.67,21.21,19.91,37.03,32.24,97.61,70.21,Gregg Marshall,2,1963,2007–08,227,Pisces,Rabbit,56,2017
W13,UNC Greensboro,Spartans,612f7f66-1de1-4d42-b842-9a508daab911,35,7150,924,2076,1137,593,7150,0.522,331,939,0.353,11,383,549,0.698,377,827,1204,487,480,1.01,267,132,650,2,2562,268,0,611,406,0,1,1027,2854,2317.56,0.553,7.66,17.46,11.6,204.3,73.2,10.77,23.63,34.4,13.9,7.63,3.77,13.71,18.57,0,0.31,26.4,59.31,9.46,26.83,10.94,15.69,16.94,32.49,29.34,81.54,66.22,Wes Miller,1,1983,2011–12,128,Aquarius,Pig,36,2017
W12,South Dakota State,Jackrabbits,6ef40534-5fad-4755-84de-7dcbd645d1f0,35,7075,1003,2146,1219,629,7075,0.516,374,927,0.403,34,578,759,0.762,265,998,1263,467,353,1.32,172,80,562,1,2958,148,0,429,372,0,2,1066,3263,2479.96,0.596,4.23,12.26,10.63,202.1,84.5,7.57,28.51,36.09,13.3,4.91,2.29,10.09,16.06,0,0.97,28.66,61.31,10.69,26.49,16.51,21.69,17.97,34.83,30.46,93.23,70.86,T. J. Otzelberger,9,1977,2016–17,917,Virgo,Snake,42,2017
E15,Cal State Fullerton,Titans,c009914b-3303-4dee-b915-978aa48a31d0,32,6450,804,1721,1221,637,6450,0.522,167,500,0.334,38,543,745,0.729,226,797,1023,403,455,0.89,201,106,578,5,2318,185,1,439,268,0,1,1098,2477,2048.8,0.566,5.78,13.72,8.38,201.6,72.4,7.06,24.91,31.97,12.6,6.28,3.31,14.22,18.06,0.03,1.19,25.13,53.78,5.22,15.63,16.97,23.28,19.91,38.16,34.31,77.41,64.03,Dedrique Taylor,5,1974,2013–14,501,Taurus,Tiger,45,2017
E13,Marshall,Thundering Herd,58d8baa3-7624-4b21-a47f-a23df2bf8859,36,7275,1042,2233,1220,680,7275,0.557,362,1013,0.357,13,571,747,0.764,242,934,1176,614,476,1.29,252,207,617,13,3017,207,0,573,344,0,3,1182,3423,2561.68,0.589,5.75,15.92,9.56,202.1,83.8,6.72,25.94,32.67,17.1,7,5.75,13.22,17.14,0,0.36,28.94,62.03,10.06,28.14,15.86,20.75,18.89,33.89,32.83,95.08,71.16,Dan D'Antoni,7,1947,2014–15,709,Cancer,Pig,72,2017
M12,New Mexico State,Aggies,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,34,6825,963,2104,1331,705,6825,0.53,258,773,0.334,33,388,603,0.643,396,934,1330,482,429,1.12,189,103,604,7,2572,168,0,539,404,0,1,1220,2891,2369.32,0.543,4.94,15.85,11.88,200.7,75.6,11.65,27.47,39.12,14.2,5.56,3.03,12.62,17.76,0,0.97,28.32,61.88,7.59,22.74,11.41,17.74,20.74,39.15,35.88,85.03,69.69,Chris Jans,4,1969,2017–18,412,Aries,Rooster,50,2017
E14,Stephen F. Austin,Lumberjacks,5ef64f01-86ae-4553-9834-c79cc0859eaf,35,7000,1000,2059,1408,758,7000,0.538,242,651,0.372,25,577,819,0.705,349,789,1138,499,540,0.92,357,106,766,13,2819,305,0,783,425,0,4,1284,3078,2419.36,0.583,8.71,22.37,12.14,200,80.5,9.97,22.54,32.51,14.3,10.2,3.03,15.43,21.89,0,0.71,28.57,58.83,6.91,18.6,16.49,23.4,21.66,40.23,36.69,87.94,69.12,Kyle Keller,1,1968,2016–17,116,Capricorn,Monkey,51,2017
W16,Texas Southern,Tigers,eb157f98-0697-459c-9293-ddb162ceb28b,36,7250,925,2111,1330,645,7250,0.485,280,781,0.359,38,657,906,0.725,304,875,1179,438,454,0.96,207,144,634,29,2787,180,1,469,383,0,7,1058,2866,2509.64,0.555,5,13.03,10.64,201.4,77.4,8.44,24.31,32.75,12.2,5.75,4,12.61,17.61,0.03,1.06,25.69,58.64,7.78,21.69,18.25,25.17,17.92,36.94,29.39,79.61,69.71,Johnny Jones,3,1961,2018–19,330,Aries,Ox,58,2017
E8,Virginia Tech,Hokies,324ccccc-575b-4b82-acb0-fbb8e68da13b,33,6675,931,1865,1120,642,6675,0.573,289,745,0.388,115,483,681,0.709,215,780,995,542,395,1.37,191,74,525,10,2634,351,0,550,272,0,13,1182,2909,2164.64,0.608,10.64,16.67,8.24,202.3,79.8,6.52,23.64,30.15,16.4,5.79,2.24,11.97,15.91,0,3.48,28.21,56.52,8.76,22.58,14.64,20.64,19.45,33.94,35.82,88.15,65.6,Buzz Williams,9,1972,2014–15,901,Virgo,Rat,47,2017
M9,North Carolina State,Wolfpack,52df1e19-b142-4a76-a439-ad68455d0581,33,6625,965,2054,1347,702,6625,0.521,263,707,0.372,121,489,703,0.696,336,721,1057,531,400,1.33,244,122,611,6,2682,334,0,583,443,0,11,1180,2933,2363.32,0.567,10.12,17.67,13.42,200.8,81.3,10.18,21.85,32.03,16.1,7.39,3.7,12.12,18.52,0,3.67,29.24,62.24,7.97,21.42,14.82,21.3,21.27,40.82,35.76,88.88,71.62,Kevin Keatts,7,1972,2017–18,728,Leo,Rat,47,2017
S1,Virginia,Cavaliers,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,34,6825,848,1844,1199,601,6825,0.501,247,645,0.383,87,340,451,0.754,237,768,1005,458,291,1.57,232,124,480,2,2283,146,2,501,289,0,5,906,2704,2042.44,0.559,4.29,14.74,8.5,200.7,67.1,6.97,22.59,29.56,13.5,6.82,3.65,8.56,14.12,0.06,2.56,24.94,54.24,7.26,18.97,10,13.26,17.68,35.26,26.65,79.53,60.07,Tony Bennett,6,1969,2009–10,601,Gemini,Rooster,50,2017
S6,Miami (FL),Hurricanes,7aec5187-cb1b-45e5-8f7d-406d766cdc73,32,6450,876,1882,1204,629,6450,0.522,247,678,0.364,103,362,547,0.662,266,755,1021,424,367,1.16,211,130,519,4,2361,281,0,434,335,0,6,1098,2589,2122.68,0.556,8.78,13.56,10.47,201.6,73.8,8.31,23.59,31.91,13.3,6.59,4.06,11.47,16.22,0,3.22,27.38,58.81,7.72,21.19,11.31,17.09,19.66,37.63,34.31,80.91,66.33,Jim Larrañaga,10,1949,2011–12,1002,Libra,Ox,70,2017
M11,Syracuse,Orange,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,37,7500,832,1995,1339,624,7500,0.466,208,656,0.317,106,594,808,0.735,370,866,1236,394,461,0.85,258,198,611,5,2466,173,1,489,422,0,15,958,2714,2350.52,0.525,4.68,13.22,11.41,202.7,66.6,10,23.41,33.41,10.6,6.97,5.35,12.46,16.51,0.03,2.86,22.49,53.92,5.62,17.73,16.05,21.84,16.86,36.19,25.89,73.35,63.53,Jim Boeheim,11,1944,1976–77,1117,Scorpio,Monkey,75,2017
W9,Florida State,Seminoles,d3c8a767-b6fc-45d4-a5f2-18406f2993f1,35,7100,995,2126,1345,722,7100,0.537,273,781,0.35,101,543,786,0.691,357,862,1219,523,457,1.14,241,186,653,2,2806,348,2,591,445,0,12,1262,3144,2471.84,0.568,9.94,16.89,12.71,202.9,80.2,10.2,24.63,34.83,14.9,6.89,5.31,13.06,18.66,0.06,2.89,28.43,60.74,7.8,22.31,15.51,22.46,20.63,38.43,36.06,89.83,70.62,Leonard Hamilton,8,1948,2002–03,804,Leo,Rat,71,2017
M5,Clemson,Tigers,dcf5c2e7-c227-4c20-af26-715d5f859412,35,7050,899,1971,1185,611,7050,0.516,288,786,0.366,117,498,660,0.755,271,896,1167,463,414,1.12,198,169,564,2,2584,205,1,493,337,0,7,1010,2933,2261.4,0.571,5.86,14.09,9.63,201.4,73.8,7.74,25.6,33.34,13.2,5.66,4.83,11.83,16.11,0.03,3.34,25.69,56.31,8.23,22.46,14.23,18.86,17.46,33.86,28.86,83.8,64.61,Brad Brownell,11,1968,2010–11,1115,Scorpio,Monkey,51,2017
W2,North Carolina,Tar Heels,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,37,7425,1105,2417,1568,800,7425,0.51,305,849,0.359,176,503,677,0.743,441,1003,1444,674,444,1.52,213,151,587,0,3018,313,3,470,560,0,2,1314,3570,2714.88,0.556,8.46,12.7,15.14,200.7,81.6,11.92,27.11,39.03,18.2,5.76,4.08,12,15.86,0.08,4.76,29.86,65.32,8.24,22.95,13.59,18.3,21.62,42.38,35.51,96.49,73.38,Roy Williams,8,1950,2003–04,801,Leo,Tiger,69,2017
M2,Duke,Blue Devils,faeb1160-5d15-4f26-99fc-c441cf21fc7f,37,7450,1125,2288,1457,816,7450,0.56,309,831,0.372,96,562,791,0.71,440,982,1422,648,459,1.41,275,185,575,4,3121,359,4,596,579,0,14,1478,3800,2636.04,0.592,9.7,16.11,15.65,201.4,84.4,11.89,26.54,38.43,17.5,7.43,5,12.41,15.54,0.11,2.59,30.41,61.84,8.35,22.46,15.19,21.38,22.05,39.38,39.95,102.7,71.24,Mike Krzyzewski,2,1947,1980–81,213,Aquarius,Pig,72,2017
W15,Lipscomb,Bisons,a2b8223d-40b3-4076-b5df-55655c2f8591,33,6700,924,2040,1227,657,6700,0.535,267,813,0.328,39,593,826,0.718,304,887,1191,517,493,1.05,216,102,658,6,2708,248,1,577,353,0,2,1176,2892,2403.44,0.563,7.52,17.48,10.7,203,82.1,9.21,26.88,36.09,15.7,6.55,3.09,14.94,19.94,0.03,1.18,28,61.82,8.09,24.64,17.97,25.03,19.91,37.18,35.64,87.64,72.83,Casey Alexander,6,1972,2013–14,608,Gemini,Rat,47,2017
M14,Bucknell,Bison,98d2123a-c7b9-4b5f-8a81-43f76d8537dc,35,7100,965,2050,1246,685,7100,0.55,280,804,0.348,32,627,872,0.719,282,916,1198,505,437,1.16,194,152,655,4,2837,173,0,519,372,0,3,1228,3119,2433.68,0.583,4.94,14.83,10.63,202.9,81.1,8.06,26.17,34.23,14.4,5.54,4.34,12.49,18.71,0,0.91,27.57,58.57,8,22.97,17.91,24.91,19.57,35.6,35.09,89.11,69.53,Nathan Davis,3,1974,2015–16,325,Aries,Tiger,45,2017
E16,Radford,Highlanders,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b,36,7325,850,2000,1207,573,7325,0.475,277,793,0.349,38,445,614,0.725,361,775,1136,442,442,1,226,105,596,5,2422,200,0,530,399,0,6,942,2570,2270.16,0.533,5.56,14.72,11.08,203.5,67.3,10.03,21.53,31.56,12.3,6.28,2.92,12.28,16.56,0,1.06,23.61,55.56,7.69,22.03,12.36,17.06,15.92,33.53,26.17,71.39,63.06,Mike Jones,4,1965,2011–12,430,Taurus,Snake,54,2017
S14,Wright State,Raiders,9c396fa7-c165-4599-8542-158bd0d9a199,35,7050,873,2019,1316,636,7050,0.483,237,703,0.337,16,517,723,0.715,306,873,1179,460,459,1,231,77,558,2,2500,145,0,543,372,0,2,1072,2636,2337.12,0.535,4.14,15.51,10.63,201.4,71.4,8.74,24.94,33.69,13.1,6.6,2.2,13.11,15.94,0,0.46,24.94,57.69,6.77,20.09,14.77,20.66,18.17,37.6,30.63,75.31,66.77,Scott Nagy,6,1966,2016–17,607,Gemini,Horse,53,2017
S7,Nevada,Wolf Pack,62a73b4a-e281-4483-a1f8-f1160a18e456,37,7500,1049,2238,1334,695,7500,0.521,354,904,0.392,95,603,812,0.743,305,910,1215,598,357,1.68,230,150,633,33,3055,328,1,541,401,0,16,1114,3493,2595.28,0.589,8.86,14.62,10.84,202.7,82.6,8.24,24.59,32.84,16.2,6.22,4.05,9.65,17.11,0.03,2.57,28.35,60.49,9.57,24.43,16.3,21.95,18.78,36.05,30.11,94.41,70.14,Eric Musselman,11,1964,2015–16,1119,Scorpio,Dragon,55,2017
W11,San Diego State,Aztecs,e6914f16-ca37-4d2e-ba26-a425910283e2,33,6600,902,1967,1258,663,6600,0.527,239,709,0.337,85,502,702,0.715,315,840,1155,489,394,1.24,206,107,564,7,2545,260,2,493,392,0,6,1128,2843,2275.88,0.559,7.88,14.94,11.88,200,77.1,9.55,25.45,35,14.8,6.24,3.24,11.94,17.09,0.06,2.58,27.33,59.61,7.24,21.48,15.21,21.27,20.09,38.12,34.18,86.15,68.97,Brian Dutcher,10,1959,2017–18,1030,Scorpio,Pig,60,2017
M4,Auburn,Tigers,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,34,6800,906,2102,1194,582,6800,0.487,324,908,0.357,98,647,836,0.774,361,826,1187,481,410,1.17,252,180,674,16,2783,310,0,584,464,0,11,1018,3088,2469.84,0.563,9.12,17.18,13.65,200,81.9,10.62,24.29,34.91,14.1,7.41,5.29,12.06,19.82,0,2.88,26.65,61.82,9.53,26.71,19.03,24.59,17.12,35.12,29.94,90.82,72.64,Bruce Pearl,3,1960,2014–15,318,Pisces,Rat,59,2017
S5,Kentucky,Wildcats,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,37,7425,998,2115,1569,803,7425,0.512,195,546,0.357,132,649,930,0.698,394,951,1345,488,481,1.01,208,176,703,10,2840,310,3,561,423,0,16,1264,3178,2524.2,0.563,8.38,15.16,11.43,200.7,76.8,10.65,25.7,36.35,13.2,5.62,4.76,13,19,0.08,3.57,26.97,57.16,5.27,14.76,17.54,25.14,21.7,42.41,34.16,85.89,68.22,John Calipari,2,1959,2009–10,210,Aquarius,Pig,60,2017
W8,Missouri,Tigers,77ca152a-cb2f-48a5-97b2-492351250d94,33,6650,794,1765,966,488,6650,0.505,306,799,0.383,111,505,688,0.734,286,828,1114,443,470,0.94,170,140,595,9,2399,147,1,416,356,0,21,822,2642,2067.72,0.58,4.45,12.61,10.79,201.5,72.7,8.67,25.09,33.76,13.4,5.15,4.24,14.24,18.03,0.03,3.36,24.06,53.48,9.27,24.21,15.3,20.85,14.79,29.27,24.91,80.06,62.66,Cuonzo Martin,9,1971,2017–18,923,Libra,Pig,48,2017
E6,Florida,Gators,912f8837-1d81-4ef9-a576-a21f271d4c64,34,6875,893,2065,1233,585,6875,0.474,308,832,0.37,104,483,673,0.718,317,780,1097,445,334,1.33,236,165,591,0,2577,292,0,557,389,0,6,948,2824,2361.12,0.546,8.59,16.38,11.44,202.2,75.8,9.32,22.94,32.26,13.1,6.94,4.85,9.82,17.38,0,3.06,26.26,60.74,9.06,24.47,14.21,19.79,17.21,36.26,27.88,83.06,69.44,Michael White,3,1977,2015–16,302,Pisces,Snake,42,2017
S3,Tennessee,Volunteers,b827dbdf-230f-4916-9703-3bb9004e26eb,35,7050,885,2012,1294,612,7050,0.473,273,718,0.38,106,541,715,0.757,352,798,1150,550,422,1.3,222,156,680,5,2584,236,1,551,418,0,17,976,2939,2326.6,0.555,6.74,15.74,11.94,201.4,73.8,10.06,22.8,32.86,15.7,6.34,4.46,12.06,19.43,0.03,3.03,25.29,57.49,7.8,20.51,15.46,20.43,17.49,36.97,27.89,83.97,66.47,Rick Barnes,7,1954,2015–16,717,Cancer,Horse,65,2017
E9,Alabama,Crimson Tide,c2104cdc-c83d-40d2-a3cd-df986e29f5d3,36,7200,910,1974,1272,681,7200,0.535,229,702,0.326,134,555,828,0.67,320,883,1203,458,513,0.89,228,192,678,8,2604,254,1,497,355,5,15,1206,2835,2338.32,0.557,7.06,13.81,9.86,200,72.3,8.89,24.53,33.42,12.7,6.33,5.33,14.25,18.83,0.03,3.72,25.28,54.83,6.36,19.5,15.42,23,18.92,35.33,33.5,78.75,64.95,Avery Johnson,3,1965,2015–16,325,Aries,Snake,54,2017
E7,Arkansas,Razorbacks,c70c23c4-ab09-4797-a1af-792c848ab17f,35,7075,1005,2119,1440,736,7075,0.511,269,679,0.396,115,540,793,0.681,302,807,1109,501,382,1.31,218,163,702,6,2819,354,4,616,401,0,7,1164,3061,2467.92,0.571,10.11,17.6,11.46,202.1,80.5,8.63,23.06,31.69,14.3,6.23,4.66,10.91,20.06,0.11,3.29,28.71,60.54,7.69,19.4,15.43,22.66,21.03,41.14,33.26,87.46,70.51,Mike Anderson,12,1959,2011–12[a],1212,Sagittarius,Pig,60,2017
W7,Texas A&M,Aggies,ef184799-d79b-49d9-a662-991eaf4044cd,35,7000,976,2121,1421,746,7000,0.525,230,700,0.329,130,449,679,0.661,380,961,1341,538,475,1.13,190,209,574,7,2631,362,6,445,485,0,4,1306,3059,2419.76,0.544,10.34,12.71,13.86,200,75.2,10.86,27.46,38.31,15.4,5.43,5.97,13.57,16.4,0.17,3.71,27.89,60.6,6.57,20,12.83,19.4,21.31,40.6,37.31,87.4,69.14,Billy Kennedy,2,1964,2011–12,202,Aquarius,Dragon,55,2017
S13,Buffalo,Bulls,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,36,7275,1105,2334,1386,754,7275,0.544,351,948,0.37,48,486,695,0.699,368,894,1262,597,447,1.34,224,146,757,5,3047,361,0,599,460,0,5,1308,3391,2639.8,0.577,10.03,16.64,12.78,202.1,84.6,10.22,24.83,35.06,16.6,6.22,4.06,12.42,21.03,0,1.33,30.69,64.83,9.75,26.33,13.5,19.31,20.94,38.5,36.33,94.19,73.33,Nate Oats,10,1974,2015–16,1013,Libra,Tiger,45,2017
E2,Purdue,Boilermakers,12d7f888-675b-459f-9099-a38f771d8a95,37,7425,1033,2097,1257,680,7425,0.541,353,840,0.42,93,555,747,0.743,268,917,1185,598,399,1.5,211,180,580,3,2974,158,0,541,366,0,3,1076,3493,2425.68,0.613,4.27,14.62,9.89,200.7,80.4,7.24,24.78,32.03,16.2,5.7,4.86,10.78,15.68,0,2.51,27.92,56.68,9.54,22.7,15,20.19,18.38,33.97,29.08,94.41,65.56,Matt Painter,8,1970,2005–06,827,Virgo,Dog,49,2017
