team_id,season,team_name,team_mascot,seed,total_wins,total_losses,total_games_played,adj_win_perc,str_of_sched,rpi,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
e6914f16-ca37-4d2e-ba26-a425910283e2,2017,San Diego State,Aztecs,W11,21,11,33,0.6642,0.5132,0.5509,6600,902,1967,1258,663,6600,0.527,239,709,0.337,85,502,702,0.715,315,840,1155,489,394,1.24,206,107,564,7,2545,260,2,493,392,0,6,1128,2843,2275.88,0.559,7.88,14.94,11.88,200,77.1,9.55,25.45,35,14.8,6.24,3.24,11.94,17.09,0.06,2.58,27.33,59.61,7.24,21.48,15.21,21.27,20.09,38.12,34.18,86.15,68.97
0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,2017,Auburn,Tigers,M4,26,8,34,0.7703,0.567,0.6178,6800,906,2102,1194,582,6800,0.487,324,908,0.357,98,647,836,0.774,361,826,1187,481,410,1.17,252,180,674,16,2783,310,0,584,464,0,11,1018,3088,2469.84,0.563,9.12,17.18,13.65,200,81.9,10.62,24.29,34.91,14.1,7.41,5.29,12.06,19.82,0,2.88,26.65,61.82,9.53,26.71,19.03,24.59,17.12,35.12,29.94,90.82,72.64
2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,2017,Kentucky,Wildcats,S5,26,11,37,0.6928,0.5966,0.6207,7425,998,2115,1569,803,7425,0.512,195,546,0.357,132,649,930,0.698,394,951,1345,488,481,1.01,208,176,703,10,2840,310,3,561,423,0,16,1264,3178,2524.2,0.563,8.38,15.16,11.43,200.7,76.8,10.65,25.7,36.35,13.2,5.62,4.76,13,19,0.08,3.57,26.97,57.16,5.27,14.76,17.54,25.14,21.7,42.41,34.16,85.89,68.22
77ca152a-cb2f-48a5-97b2-492351250d94,2017,Missouri,Tigers,W8,19,13,33,0.5786,0.5635,0.5673,6650,794,1765,966,488,6650,0.505,306,799,0.383,111,505,688,0.734,286,828,1114,443,470,0.94,170,140,595,9,2399,147,1,416,356,0,21,822,2642,2067.72,0.58,4.45,12.61,10.79,201.5,72.7,8.67,25.09,33.76,13.4,5.15,4.24,14.24,18.03,0.03,3.36,24.06,53.48,9.27,24.21,15.3,20.85,14.79,29.27,24.91,80.06,62.66
912f8837-1d81-4ef9-a576-a21f271d4c64,2017,Florida,Gators,E6,21,13,34,0.5759,0.5818,0.5804,6875,893,2065,1233,585,6875,0.474,308,832,0.37,104,483,673,0.718,317,780,1097,445,334,1.33,236,165,591,0,2577,292,0,557,389,0,6,948,2824,2361.12,0.546,8.59,16.38,11.44,202.2,75.8,9.32,22.94,32.26,13.1,6.94,4.85,9.82,17.38,0,3.06,26.26,60.74,9.06,24.47,14.21,19.79,17.21,36.26,27.88,83.06,69.44
b827dbdf-230f-4916-9703-3bb9004e26eb,2017,Tennessee,Volunteers,S3,26,9,35,0.7453,0.5868,0.6264,7050,885,2012,1294,612,7050,0.473,273,718,0.38,106,541,715,0.757,352,798,1150,550,422,1.3,222,156,680,5,2584,236,1,551,418,0,17,976,2939,2326.6,0.555,6.74,15.74,11.94,201.4,73.8,10.06,22.8,32.86,15.7,6.34,4.46,12.06,19.43,0.03,3.03,25.29,57.49,7.8,20.51,15.46,20.43,17.49,36.97,27.89,83.97,66.47
c2104cdc-c83d-40d2-a3cd-df986e29f5d3,2017,Alabama,Crimson Tide,E9,20,16,36,0.5195,0.5865,0.5698,7200,910,1974,1272,681,7200,0.535,229,702,0.326,134,555,828,0.67,320,883,1203,458,513,0.89,228,192,678,8,2604,254,1,497,355,5,15,1206,2835,2338.32,0.557,7.06,13.81,9.86,200,72.3,8.89,24.53,33.42,12.7,6.33,5.33,14.25,18.83,0.03,3.72,25.28,54.83,6.36,19.5,15.42,23,18.92,35.33,33.5,78.75,64.95
c70c23c4-ab09-4797-a1af-792c848ab17f,2017,Arkansas,Razorbacks,E7,23,12,35,0.6454,0.5571,0.5792,7075,1005,2119,1440,736,7075,0.511,269,679,0.396,115,540,793,0.681,302,807,1109,501,382,1.31,218,163,702,6,2819,354,4,616,401,0,7,1164,3061,2467.92,0.571,10.11,17.6,11.46,202.1,80.5,8.63,23.06,31.69,14.3,6.23,4.66,10.91,20.06,0.11,3.29,28.71,60.54,7.69,19.4,15.43,22.66,21.03,41.14,33.26,87.46,70.51
ef184799-d79b-49d9-a662-991eaf4044cd,2017,Texas A&M,Aggies,W7,22,13,35,0.6174,0.5952,0.6007,7000,976,2121,1421,746,7000,0.525,230,700,0.329,130,449,679,0.661,380,961,1341,538,475,1.13,190,209,574,7,2631,362,6,445,485,0,4,1306,3059,2419.76,0.544,10.34,12.71,13.86,200,75.2,10.86,27.46,38.31,15.4,5.43,5.97,13.57,16.4,0.17,3.71,27.89,60.6,6.57,20,12.83,19.4,21.31,40.6,37.31,87.4,69.14
a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,2017,Buffalo,Bulls,S13,26,9,36,0.7643,0.5591,0.6104,7275,1105,2334,1386,754,7275,0.544,351,948,0.37,48,486,695,0.699,368,894,1262,597,447,1.34,224,146,757,5,3047,361,0,599,460,0,5,1308,3391,2639.8,0.577,10.03,16.64,12.78,202.1,84.6,10.22,24.83,35.06,16.6,6.22,4.06,12.42,21.03,0,1.33,30.69,64.83,9.75,26.33,13.5,19.31,20.94,38.5,36.33,94.19,73.33
